@relation jAudio
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC

@DATA
-2.7764429E2,-1.233561264E1,2.076643982E0,-1.947249489E0,-6.342330844E0,-1.633654025E0,2.658038847E0,-1.050900279E0,6.635503347E-1,2.991132379E0,-8.856625117E-1,-1.684169412E0,1.450552275E0
-2.751894196E2,-1.912318211E1,-1.415152815E0,-6.482573742E0,-6.476924222E0,-9.945039213E-1,3.362540441E0,-3.736780574E-1,5.43579849E-1,8.234167168E-1,-3.207574949E0,1.779221111E0,1.698246192E0
-3.221845248E2,-1.017906364E1,-8.476688543E-1,-2.114391418E0,-1.06721017E0,-4.944383706E-1,5.280875315E-1,-3.555923127E-1,-1.04285017E0,-9.900583148E-1,-2.663346756E-1,1.28141317E0,1.435777499E0
-2.56318463E2,-1.816100439E1,3.603960382E0,-5.724400158E0,-8.569542704E0,5.332884303E-1,3.561222805E0,-4.255950896E-1,-1.765280528E-1,2.165126906E0,-1.857869092E0,5.832384503E-1,1.148246311E0
-2.568686944E2,-8.273068139E0,4.784095045E0,-3.28428132E0,-7.307708465E0,-2.767701655E0,7.62691629E-1,1.120081265E-1,-1.308130825E0,-3.659798298E-1,-9.871588317E-1,7.503328357E-1,2.334920805E-1
-2.612372733E2,-1.000818271E1,8.542557469E0,4.918217674E-1,-3.644711995E0,-1.761120169E0,1.120203303E0,4.276434524E-1,-1.070851647E0,-1.063525723E0,-1.192037044E0,1.07161257E0,1.0102331E0
-2.577116952E2,-1.012425336E1,7.455798213E0,-1.963549137E0,-5.096542182E0,-3.133893963E0,1.214116755E0,4.056511962E-2,1.040412888E0,1.199629477E0,-9.17793224E-1,1.536628771E0,-1.429653495E0
-2.590948826E2,-1.14865517E1,7.154221633E0,6.823225779E-1,-3.637203617E0,-2.652303579E0,1.611671515E0,1.748418168E0,6.450884971E-1,-3.769384515E-1,-7.846913559E-1,7.216714201E-1,1.192300727E0
-2.531563429E2,-9.037668283E0,4.846153732E0,-2.467285797E0,-2.702993082E0,-2.369047357E0,-1.805638964E0,7.029390586E-1,1.73523269E0,-6.878798818E-1,-1.189202663E0,-4.931279236E-1,1.330185414E0
-2.492110241E2,-6.259332887E0,5.209370448E0,-7.50903377E-1,-4.562492907E0,-2.9033775E0,-1.925154322E0,1.262799433E0,-1.199306219E0,7.223428437E-1,1.524902106E-1,4.719751589E-1,-6.837633892E-1
-2.503403205E2,-5.045116433E0,2.97174308E0,-5.646403409E-1,-2.270070562E0,-3.244496303E0,-1.349950904E0,6.086752043E-1,1.63526886E-1,1.859924718E0,-1.612583525E-1,-4.717268703E-1,8.673987958E-2
-2.553478467E2,-1.047058753E1,3.789500954E0,-1.058578112E0,-3.034397276E0,-1.149629484E0,5.25008603E-1,-1.897730581E0,-2.726719528E0,5.2896118E-1,-4.801994907E-2,9.87726321E-1,4.437155692E-1
-2.50655797E2,-7.28325665E0,6.414575915E0,1.762715971E-1,-3.847072591E0,2.447647039E-1,4.609220803E-1,8.157729571E-1,-2.654601775E-1,2.032892795E0,6.388814129E-2,-2.389913164E0,-5.243564049E-1
-2.518612898E2,-1.054093157E1,6.859691084E0,2.001601656E-2,-3.389198836E0,1.202332431E0,9.325744646E-1,-1.654463984E0,-6.049870775E-1,-7.602235984E-1,-3.206494877E0,-3.353506293E0,-4.460236508E-1
-2.554193542E2,-8.97835917E0,6.852156601E0,-1.253681935E0,-3.677286926E0,-8.544517276E-1,-1.43796835E0,-1.21568722E0,3.635572964E-1,2.491523769E0,2.025566715E-1,-2.665834904E0,5.142087259E-1
