@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
3.9140625,5.2231865,441
3.9612403,4.4047246,442
5.721519,8.894511,443
6.8133335,8.810136,444
5.741573,6.4625597,445
6.1084337,7.50905,446
6.5584416,8.811877,447
7.830769,10.91163,448
5.483871,4.8562407,449
7.347826,9.150633,450
12.885715,21.180546,451
7.78125,15.365819,452
6.35,8.700718,453
5.11,4.630108,454
5.009804,4.666306,455
6.047619,6.166161,456
8.614035,11.0592575,457
8.196721,13.400293,458
6.5064936,11.268417,459
7.2058825,14.202898,460
7.6119404,15.390397,461
6.474359,12.69133,462
4.970297,6.3611684,463
8.305085,12.922525,464
8.254237,11.67729,465
5.6555557,7.747632,466
7.1571426,11.544493,467
5.3636365,6.5247464,468
4.766355,6.891115,469
5.1616163,7.9705353,470
6.915493,9.498326,471
5.5,6.5527773,472
6.120482,10.16182,473
6.2625,8.844128,474
7.3,11.75992,475
7.8615384,13.462057,476
9.958333,16.313286,477
8.964912,12.307415,478
9.576923,14.335735,479
6.623377,11.789318,480
6.0595236,7.5677123,481
6.716216,9.889279,482
4.53211,4.9503384,483
5.9302325,8.754787,484
6.1084337,8.262285,485
5.478261,6.7750793,486
4.9134617,6.4868364,487
3.6546762,5.334444,488
3.6170213,5.544993,489
4.581818,7.0574036,490
6.296296,7.5921407,491
7.0555553,10.4654045,492
6.5789475,8.333924,493
5.7906976,7.394398,494
5.632184,7.4665766,495
5.102041,5.181383,496
5.8390803,7.228414,497
6.1829267,9.605802,498
5.9764705,10.192242,499
5.1616163,7.4572277,500
6.3506494,10.885194,501
6.5584416,10.110421,502
6.4929576,10.505362,503
9.290909,13.443042,504
6.4805193,7.3389378,505
11.288889,20.708155,506
9.0,14.666667,507
7.552239,15.161109,508
5.964706,5.232134,509
5.6153846,6.113881,510
5.214286,5.2707314,511
8.559322,13.537482,512
11.136364,23.753077,513
8.964912,15.222288,514
5.1616163,7.9196815,515
10.869565,15.488578,516
7.3,9.246389,517
4.754717,6.37627,518
8.4,11.794349,519
7.597015,12.58886,520
7.567164,9.96445,521
7.2285714,12.402962,522
5.1,5.2316346,523
6.0963855,9.552158,524
6.8133335,8.8629465,525
5.3020835,7.5499997,526
4.448598,4.9184637,527
6.090909,8.116332,528
5.8735633,7.2457747,529
5.9166665,7.3179626,530
5.6444445,6.2828,531
5.4888887,8.04466,532
10.08,15.416666,533
7.5373135,12.708357,534
6.308642,11.576522,535
6.4133334,8.4239235,536
6.44,7.899772,537
6.1975307,7.4343543,538
7.626866,10.66426,539
9.125,15.406472,540
9.528302,13.63625,541
8.20339,11.236712,542
10.790698,15.343445,543
7.4920635,9.8155575,544
7.983871,11.086888,545
7.8615384,11.416421,546
6.7236843,9.868342,547
5.5274725,7.574307,548
6.4133334,8.877076,549
6.0,9.350513,550
6.35443,8.735259,551
6.7066665,8.334304,552
5.2210526,6.690416,553
6.4133334,9.958706,554
7.4179106,11.988987,555
5.9638553,6.4067845,556
5.6179776,6.243209,557
8.095238,7.6463795,558
8.516666,9.957396,559
5.5348835,5.6972,560
11.894737,21.241455,561
6.0,12.128721,562
6.786667,11.916703,563
5.9411764,6.0378275,564
5.741573,6.589962,565
6.6973686,8.228672,566
6.0625,8.269438,567
9.313725,13.786168,568
7.1408453,11.75848,569
7.5,14.397202,570
6.325,9.923174,571
6.308642,8.436607,572
6.2375,8.475323,573
7.8615384,10.930377,574
7.5,10.085663,575
6.1358023,9.0605,576
6.5384617,8.979595,577
5.54023,7.4244156,578
5.6666665,6.834553,579
4.7714286,5.158917,580
5.393617,6.8435683,581
4.9126215,6.785345,582
4.961165,6.54621,583
5.746988,7.7628145,584
4.7570095,6.8833284,585
4.7102804,5.4687033,586
8.964912,10.957598,587
7.5147057,12.342529,588
6.783784,9.19499,589
6.175,7.55939,590
6.3125,9.644421,591
10.541667,16.127045,592
6.308642,9.079406,593
4.990196,6.622148,594
6.4935064,8.658939,595
5.0408163,7.643749,596
3.9,5.9818316,597
3.659091,5.0239267,598
3.5,4.814718,599
4.513274,6.830586,600
7.7272725,12.30859,601
6.4415584,8.691679,602
6.3875,8.076963,603
5.6444445,7.104476,604
5.719101,6.835119,605
4.7102804,6.647337,606
5.451613,6.6535077,607
5.326316,6.4046726,608
6.7105265,9.7869625,609
6.296296,9.164403,610
6.455696,9.900515,611
8.627119,13.016154,612
6.0731707,8.180554,613
5.6555557,7.322964,614
6.888889,10.446365,615
9.641509,17.965475,616
7.597015,9.472757,617
6.2875,5.742808,618
7.6363635,9.839063,619
6.329114,6.9477644,620
6.195122,9.617615,621
9.407408,16.14921,622
9.869565,16.4113,623
7.830769,16.11265,624
5.425532,6.009725,625
4.712963,4.81712,626
5.554348,7.076237,627
7.6307693,9.686738,628
7.3432837,10.173939,629
5.4623656,6.2416553,630
5.5274725,5.8240514,631
4.866667,6.2091584,632
5.2916665,5.5451117,633
4.811321,6.4150667,634
5.07,6.5669703,635
4.477876,4.331603,636
4.603604,4.3749475,637
4.522124,4.9833302,638
5.3956046,8.13739,639
5.928571,8.510198,640
6.405063,9.864293,641
5.890244,6.89292,642
12.390244,20.697447,643
7.4923077,8.858066,644
9.692307,13.908407,645
7.742424,11.439314,646
5.693182,6.8628745,647
5.9638553,9.051986,648
5.677778,6.4477863,649
8.516666,15.346543,650
7.8,10.137819,651
9.921569,14.720724,652
5.741573,7.834708,653
7.112676,10.739619,654
7.890625,10.722519,655
7.3188405,9.94695,656
7.1911764,10.867189,657
3.813433,5.069911,658
4.241667,5.4833016,659
3.6028368,4.130632,660
3.556338,3.9938767,661
4.2166667,5.20926,662
5.27957,4.9803176,663
6.5,7.290229,664
6.35443,8.540356,665
8.241936,10.790805,666
6.0595236,7.9077287,667
7.3913045,9.173398,668
5.554348,5.8946624,669
6.8133335,10.075308,670
8.015873,14.725523,671
7.96875,10.372694,672
7.626866,9.530526,673
5.730337,5.107307,674
6.0493827,5.7432756,675
6.7105265,6.423263,676
6.2763157,7.353121,677
12.8,21.90212,678
6.9857144,10.591766,679
8.5,15.542952,680
5.9764705,6.1834245,681
4.4649124,5.7707367,682
5.806818,11.106773,683
7.1044774,10.583195,684
7.318182,10.978159,685
6.1707315,10.297768,686
4.477064,7.1389823,687
5.741573,8.459458,688
6.0595236,8.104013,689
5.091837,5.560588,690
3.8931298,3.7847664,691
6.15,7.899525,692
8.031746,14.60264,693
7.214286,9.368477,694
9.272727,14.741968,695
6.743243,11.434964,696
6.644737,7.537108,697
7.3,11.47712,698
7.257143,10.1582985,699
7.7580647,13.709763,700
4.980392,6.305896,701
4.7570095,6.2260246,702
7.3,10.483116,703
5.9882355,7.754307,704
8.033898,12.715886,705
6.890411,12.983194,706
6.1566267,12.6533785,707
4.258333,7.751877,708
3.5683453,6.5393667,709
6.864865,11.850789,710
9.588235,12.63077,711
7.0,8.961103,712
7.115942,9.5440035,713
5.6555557,8.084499,714
4.691589,4.8189874,715
5.3473682,5.957337,716
5.009804,7.9428043,717
5.8488374,8.40199,718
5.806818,7.2861295,719
7.169014,11.534377,720
5.43617,6.8378773,721
6.76,11.233094,722
5.521739,6.702495,723
7.142857,13.676137,724
4.5765767,4.317468,725
5.707865,5.8964896,726
5.4042554,5.064098,727
5.368421,5.5251627,728
4.9417477,4.65473,729
5.2916665,4.7673297,730
5.5,4.9916596,731
8.163636,11.677116,732
6.551282,13.172083,733
7.7272725,14.069681,734
7.289855,9.585771,735
12.414634,22.695198,736
4.8932037,7.4689164,737
7.3768115,12.488954,738
5.445652,6.3748217,739
6.875,8.883408,740
4.285714,4.303883,741
5.3655915,6.4870176,742
4.838095,6.2535686,743
5.43617,6.678894,744
4.745283,4.0679636,745
10.955556,20.494938,746
7.984375,12.42665,747
7.769231,15.273677,748
5.195876,6.2666507,749
7.2,13.346589,750
7.712121,13.483733,751
8.111111,11.257606,752
8.225806,11.227012,753
8.032787,10.871782,754
6.308642,8.103713,755
6.6363635,8.48208,756
5.590909,6.473085,757
8.344262,9.986689,758
8.884615,10.897519,759
14.242424,17.946098,760
9.584906,19.241693,761
7.522388,11.206819,762
7.875,9.806726,763
8.383333,10.556343,764
7.3913045,8.007637,765
8.079365,10.140758,766
10.395833,16.879154,767
9.277778,12.716884,768
6.7297297,8.350914,769
5.693182,6.7020316,770
6.219512,7.523985,771
5.719101,6.5376844,772
8.962264,18.81485,773
7.169014,9.667698,774
7.3,10.459924,775
4.961165,5.1500254,776
5.214286,5.771588,777
4.5625,3.786209,778
6.0,6.604811,779
5.9411764,9.130882,780
8.576271,9.447811,781
7.060606,5.791527,782
8.241936,10.777344,783
6.375,5.177777,784
7.405797,5.7843337,785
5.340659,3.846562,786
7.2537313,11.403513,787
6.375,9.5149555,788
6.13253,8.72577,789
5.059406,5.202478,790
5.2040815,6.306717,791
4.92233,6.505695,792
5.715909,6.767148,793
5.03,5.975709,794
5.674157,6.6565423,795
7.347826,6.929931,796
8.16129,12.2740135,797
5.151515,4.7362,798
6.120482,5.956464,799
5.1530614,7.800251,800
8.16129,15.40548,801
8.111111,17.671707,802
7.056338,14.267946,803
5.009804,9.895033,804
5.730337,8.329944,805
5.2765956,7.4653873,806
4.9038463,8.056912,807
12.365853,25.213001,808
11.108696,22.94154,809
4.4035087,6.0490966,810
6.0987654,14.116451,811
4.544643,7.4927206,812
6.5384617,12.237701,813
5.319149,8.147853,814
6.231707,8.614082,815
9.622642,16.51669,816
6.884058,13.39212,817
6.786667,12.921603,818
8.490566,15.85622,819
7.3188405,11.543859,820
5.6363635,6.3607135,821
9.0,13.328273,822
4.37931,6.0992584,823
5.4946237,5.6064935,824
5.6153846,7.3764834,825
6.151899,7.223535,826
4.783019,5.7822185,827
5.6555557,7.471667,828
4.9607844,6.9054136,829
4.6330276,4.883337,830
4.2083335,4.222748,831
4.669725,4.4599237,832
4.701923,5.1457224,833
4.9029126,4.818078,834
