@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.93755966,0.061395474,4.5013578E-5,4.6058606E-9,127
0.94519216,0.05157027,4.4167573E-6,4.3546287E-9,128
0.9301691,0.06704706,2.2282962E-5,3.2010772E-9,129
0.93971974,0.05811651,2.8338964E-5,3.6176417E-9,130
0.9255067,0.07375504,2.6074475E-5,3.6038017E-9,131
0.9110572,0.08731015,5.9624956E-5,3.2155016E-9,132
0.9229362,0.07537422,4.7967067E-5,3.832893E-9,133
0.89863896,0.100393206,4.778238E-5,4.7447744E-9,134
0.8936529,0.10076456,4.6257952E-5,3.4024936E-9,135
0.89648974,0.09891338,3.0423196E-5,3.3808398E-9,136
0.89480877,0.095780596,3.417861E-5,4.7352726E-9,137
0.867593,0.1119486,6.890935E-5,5.1095035E-9,138
0.9059656,0.06136901,4.1449082E-5,3.3587273E-9,139
0.8774317,0.0815612,7.289333E-5,2.144884E-9,140
0.915796,0.046667933,2.5261963E-5,3.10118E-9,141
0.8659243,0.07970396,3.7585512E-5,1.9550768E-8,142
0.858169,0.0772361,8.974776E-5,4.9035265E-7,143
0.85961205,0.08468029,1.2249826E-4,5.0182953E-6,144
0.8255951,0.09690932,1.5540267E-4,4.690694E-6,145
0.84479845,0.09708938,4.9435213E-5,6.912778E-6,146
0.87264466,0.1019302,9.808152E-4,9.7511854E-4,147
0.7847701,0.19331242,0.0017849619,0.0014162697,148
0.6718987,0.27583805,9.746837E-4,0.0011314311,149
0.72509277,0.12829731,0.0016999973,9.5991354E-4,150
0.8045848,0.10618403,0.001884571,9.912273E-4,151
0.82111007,0.11758052,0.0014201113,0.0011475707,152
0.71032095,0.10698121,7.63679E-4,0.0012934878,153
