@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2389.7837,847
2602.3857,848
2643.5066,849
2783.02,850
3054.8855,851
2883.5552,852
2956.5728,853
3043.3047,854
3012.2354,855
2830.9087,856
2783.5505,857
2848.632,858
2649.6125,859
2629.2441,860
2621.034,861
2800.693,862
2569.0557,863
2399.5571,864
2243.197,865
2610.2078,866
2552.939,867
2853.4917,868
2636.1,869
2307.6162,870
2443.0005,871
2662.1511,872
2644.9753,873
2437.0215,874
2582.577,875
2293.7678,876
2713.196,877
3145.5706,878
3427.0999,879
3334.7996,880
2958.7751,881
2987.8113,882
2715.7817,883
2631.276,884
2632.2666,885
2887.5059,886
2743.431,887
2995.0784,888
2861.6357,889
2919.626,890
2951.0466,891
3278.7688,892
3290.234,893
3262.2283,894
3312.3562,895
3163.9297,896
2816.5952,897
2237.1887,898
2563.2974,899
2985.1284,900
3358.285,901
3050.8672,902
2777.5342,903
2534.7756,904
3145.513,905
3660.4075,906
3729.442,907
3671.8381,908
3615.1936,909
3646.6118,910
3469.8901,911
3652.7043,912
3189.8596,913
3223.9963,914
3394.675,915
3486.409,916
3040.9836,917
3022.5242,918
3537.423,919
3718.151,920
3514.1826,921
3441.92,922
3118.17,923
3112.0818,924
3327.039,925
3353.4226,926
3376.1309,927
2864.5437,928
2830.4597,929
2840.5464,930
2685.095,931
2691.825,932
3013.3625,933
2760.8733,934
2842.068,935
3199.521,936
2982.875,937
3166.107,938
2837.396,939
3339.0833,940
3122.1245,941
2954.659,942
2879.1355,943
2878.352,944
3012.5618,945
2176.028,946
2680.3328,947
2589.5715,948
2939.2979,949
2646.5095,950
2719.3162,951
2438.3374,952
2475.2527,953
2330.618,954
2698.049,955
2662.3865,956
2352.619,957
2525.2468,958
2646.405,959
2698.0522,960
2824.5356,961
3163.2222,962
2959.1414,963
3135.3628,964
3148.907,965
2909.1594,966
2993.566,967
3158.813,968
2972.7202,969
2683.4285,970
2995.3164,971
2666.3433,972
2550.4712,973
2422.0054,974
2602.6753,975
2624.7024,976
2668.0886,977
2624.861,978
2470.3057,979
2492.6785,980
2736.8948,981
2871.9556,982
2840.2183,983
2736.2886,984
2598.8843,985
2503.424,986
2759.5862,987
2927.6646,988
2922.042,989
3281.2102,990
3052.5862,991
3023.762,992
2585.8738,993
2845.2122,994
2535.2131,995
2387.4827,996
2519.7253,997
2233.5203,998
2397.1462,999
2592.242,1000
2504.3418,1001
2869.2896,1002
2719.7341,1003
2999.5916,1004
3022.8745,1005
2775.3093,1006
2516.6614,1007
2306.761,1008
2561.9768,1009
2320.3574,1010
2692.5916,1011
2709.7466,1012
2663.9106,1013
2724.091,1014
2628.6772,1015
3031.1638,1016
3015.2336,1017
3010.8452,1018
3024.1426,1019
2945.2795,1020
2751.6882,1021
2744.879,1022
2656.339,1023
3121.558,1024
3569.13,1025
2813.945,1026
2988.2874,1027
2568.3887,1028
2891.2986,1029
3354.6033,1030
2934.3464,1031
2786.6572,1032
3190.5503,1033
3160.2664,1034
3120.3716,1035
2984.4783,1036
2847.2612,1037
2964.8948,1038
3363.9377,1039
2628.7356,1040
2513.0598,1041
2696.5208,1042
2768.4622,1043
3299.3098,1044
3446.4578,1045
3174.2864,1046
3094.6733,1047
2611.4863,1048
2506.5793,1049
2242.8704,1050
2616.938,1051
2729.2463,1052
2488.8171,1053
2308.1472,1054
2253.7046,1055
2329.7988,1056
2857.4575,1057
2402.734,1058
2349.9036,1059
2175.7236,1060
2125.7312,1061
2289.6123,1062
2060.645,1063
2057.7874,1064
1785.4124,1065
1752.7831,1066
1723.9088,1067
2480.1138,1068
2765.258,1069
3017.45,1070
3177.1436,1071
2912.3853,1072
2819.8252,1073
2675.0813,1074
2588.713,1075
2444.1807,1076
2456.2798,1077
2333.195,1078
2749.3203,1079
3104.9866,1080
2828.2358,1081
2276.515,1082
1900.9242,1083
1999.8646,1084
1969.2516,1085
2092.5361,1086
2213.6472,1087
2199.9026,1088
2407.0938,1089
2185.734,1090
2047.221,1091
1856.0499,1092
1848.372,1093
1681.9589,1094
2110.436,1095
2653.2615,1096
3067.9448,1097
2764.9172,1098
2677.4023,1099
2549.5825,1100
2475.3442,1101
2485.6729,1102
2188.7852,1103
2270.6243,1104
2335.4019,1105
2088.8237,1106
2040.333,1107
2322.9346,1108
3133.58,1109
3242.2322,1110
3097.9192,1111
2606.347,1112
2597.3054,1113
2348.2915,1114
2060.5276,1115
2485.626,1116
2628.8884,1117
2382.7222,1118
2466.0278,1119
2510.506,1120
1560.3892,1121
2205.9421,1122
3408.745,1123
3843.2258,1124
3520.9639,1125
3039.6936,1126
2349.0308,1127
2661.4395,1128
2204.0686,1129
2243.69,1130
2101.9268,1131
1675.8137,1132
1619.2693,1133
1465.0492,1134
1363.949,1135
1173.832,1136
2716.2422,1137
2267.9883,1138
2216.3237,1139
2630.5803,1140
2525.66,1141
2295.1455,1142
3134.88,1143
3094.462,1144
2607.7756,1145
2598.8616,1146
2240.1316,1147
2172.5696,1148
1991.361,1149
2938.5242,1150
2497.9617,1151
2642.6472,1152
2936.2568,1153
2369.2322,1154
2352.2039,1155
2406.9692,1156
2319.603,1157
2474.863,1158
2598.943,1159
2982.449,1160
2389.3125,1161
2354.8914,1162
2174.7998,1163
2816.7598,1164
2591.1821,1165
2262.6736,1166
2166.473,1167
2156.703,1168
2035.1063,1169
2006.4735,1170
2282.2688,1171
2423.3674,1172
2636.4907,1173
2810.131,1174
3483.2693,1175
5355.018,1176
5213.1646,1177
3269.3037,1178
2829.29,1179
2858.6736,1180
3041.9724,1181
3212.9707,1182
3033.254,1183
2515.7292,1184
2541.0952,1185
