@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.9158998,0.78894925,0.7547949,0.7209594,373
0.8588721,0.78972447,0.7298414,0.8515328,374
0.7714503,0.8612999,0.82549804,0.8469811,375
0.9719876,0.7926783,0.8159355,0.8117563,376
0.78481066,0.8664664,0.90581375,0.80540025,377
0.960329,0.9111571,0.83367765,0.8161462,378
0.72856194,0.81692433,0.8528383,0.77929705,379
0.8080405,0.85330105,0.87012845,0.7973174,380
0.95469445,0.79770124,0.8741552,0.8302477,381
0.8763187,0.6848512,0.9050633,0.8084005,382
0.92857856,0.74455637,0.75582194,0.8446678,383
0.9847074,0.7230915,0.7928498,0.81741065,384
0.9563104,0.8116698,0.82993615,0.81888074,385
0.7618449,0.76586,0.8184824,0.76876336,386
0.8327612,0.8402619,0.8282172,0.82278013,387
0.96878356,0.8275955,0.8407045,0.8301108,388
0.993078,0.5868391,0.8134822,0.78893894,389
0.9589201,0.62476426,0.86117184,0.7831746,390
0.8763278,0.78695613,0.82053864,0.8167245,391
0.88638955,0.7270858,0.7697262,0.78485656,392
0.86432195,0.7725394,0.8409584,0.825242,393
0.9247091,0.76144594,0.87287146,0.7627237,394
0.90222883,0.7802325,0.89396995,0.8659014,395
0.9598353,0.73528314,0.83518875,0.7381729,396
0.8679034,0.9112212,0.6871165,0.8039869,397
0.7354225,0.84865993,0.7931045,0.77775717,398
0.8398504,0.8221694,0.6195997,0.8166523,399
0.8867482,0.96972954,0.78035617,0.8436519,400
0.87262464,0.9048739,0.88357174,0.808607,401
0.96946883,0.8018909,0.8247759,0.8445651,402
0.9522971,0.7370782,0.8203228,0.898848,403
0.8568265,0.9193886,0.84086865,0.8644604,404
0.7618984,0.9093678,0.7759306,0.7779878,405
0.53826505,0.76291996,0.7278294,0.84197575,406
0.74335647,0.88435197,0.7387379,0.8204904,407
0.7037647,0.90901047,0.8812415,0.7803787,408
0.88784134,0.8134868,0.7157011,0.78998137,409
0.89582247,0.7412664,0.8251754,0.7874258,410
0.9201892,0.9138718,0.85280263,0.7520908,411
0.85560393,0.8753628,0.78416175,0.81331635,412
0.942077,0.722607,0.8167693,0.8094343,413
0.74211955,0.7683319,0.7645229,0.7299792,414
0.91942376,0.8712561,0.8531827,0.76179826,415
0.94838274,0.8304931,0.8546013,0.73602027,416
0.785207,0.82897866,0.7527034,0.8127326,417
0.99055827,0.8294823,0.8696591,0.7949582,418
0.8910593,0.86402434,0.8223265,0.709134,419
0.95701694,0.6438338,0.8460091,0.83035874,420
0.8279943,0.7350341,0.8541625,0.7961785,421
0.9674601,0.8805831,0.86540127,0.7545636,422
0.9517861,0.8036702,0.78860044,0.8420711,423
0.94192654,0.9256159,0.74919206,0.7496818,424
0.9071159,0.7837388,0.60309464,0.8681553,425
0.88181895,0.6411946,0.79613054,0.87401307,426
0.54867125,0.7193242,0.9373159,0.9023474,427
0.9252632,0.75767595,0.79707813,0.8687887,428
0.85362095,0.8810115,0.7948943,0.81639045,429
0.8703938,0.83543664,0.74627686,0.77082705,430
