@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Discrepancy' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.9059172E-4,143
1.8234595E-4,144
1.9420349E-4,145
2.0182022E-4,146
1.597073E-4,147
1.2935624E-4,148
2.4302657E-4,149
2.8957514E-4,150
2.4014908E-4,151
2.292512E-4,152
2.899844E-4,153
1.5795119E-4,154
2.4002472E-4,155
2.478033E-4,156
2.583671E-4,157
2.8721415E-4,158
2.7625967E-4,159
2.3772262E-4,160
2.3382234E-4,161
1.9797338E-4,162
4.3476894E-4,163
3.086341E-4,164
2.9464203E-4,165
3.0434126E-4,166
3.0730158E-4,167
1.7057577E-4,168
1.6576206E-4,169
1.7723086E-4,170
1.799633E-4,171
1.6638571E-4,172
1.604096E-4,173
1.1898274E-4,174
1.9933155E-4,175
2.0685533E-4,176
2.0400329E-4,177
1.7716362E-4,178
1.5198824E-4,179
2.0647669E-4,180
1.7468234E-4,181
1.4753097E-4,182
1.265664E-4,183
1.6106221E-4,184
1.7850955E-4,185
2.736475E-4,186
2.2368648E-4,187
1.4141202E-4,188
1.597091E-4,189
1.9245825E-4,190
2.5846506E-4,191
2.2462568E-4,192
2.2589437E-4,193
2.1301505E-4,194
3.2643124E-4,195
3.8312044E-4,196
2.8618213E-4,197
2.9192615E-4,198
2.845614E-4,199
2.0183313E-4,200
1.438163E-4,201
1.444692E-4,202
1.3709051E-4,203
1.365682E-4,204
2.3525178E-4,205
2.1362983E-4,206
2.0758524E-4,207
1.217938E-4,208
1.6808142E-4,209
2.2828199E-4,210
2.6134212E-4,211
1.9649953E-4,212
2.2797327E-4,213
2.0336355E-4,214
1.10905006E-4,215
1.7589572E-4,216
2.0885999E-4,217
2.7059807E-4,218
2.9744577E-4,219
2.6844002E-4,220
2.9211657E-4,221
2.2597115E-4,222
1.5368247E-4,223
1.5686921E-4,224
2.1378357E-4,225
1.8913629E-4,226
1.8327044E-4,227
1.4385577E-4,228
1.831124E-4,229
1.8755172E-4,230
1.5821987E-4,231
1.3809452E-4,232
1.5156149E-4,233
1.2047044E-4,234
1.8908983E-4,235
1.1061545E-4,236
1.9026561E-4,237
1.9038946E-4,238
1.790138E-4,239
2.5786198E-4,240
2.1516481E-4,241
1.9550115E-4,242
1.7004261E-4,243
1.487007E-4,244
1.3547049E-4,245
2.1082298E-4,246
1.96038E-4,247
1.5507475E-4,248
1.894338E-4,249
2.554463E-4,250
2.737258E-4,251
2.7601884E-4,252
3.2386908E-4,253
3.631967E-4,254
2.6363635E-4,255
1.746119E-4,256
2.0059521E-4,257
3.0364766E-4,258
2.722035E-4,259
3.8538803E-4,260
3.083132E-4,261
3.1265573E-4,262
2.67154E-4,263
1.82252E-4,264
2.0733562E-4,265
1.7429626E-4,266
2.5005004E-4,267
2.0188728E-4,268
2.0110163E-4,269
2.1590364E-4,270
1.6119998E-4,271
2.2384041E-4,272
3.3436576E-4,273
2.7175265E-4,274
3.3301176E-4,275
2.7422293E-4,276
3.3491454E-4,277
1.8999566E-4,278
1.3419075E-4,279
1.3051086E-4,280
1.6505954E-4,281
1.4912589E-4,282
1.5744059E-4,283
1.6291943E-4,284
2.1682019E-4,285
1.8428877E-4,286
2.504001E-4,287
2.107624E-4,288
2.1673835E-4,289
2.1257924E-4,290
1.7213786E-4,291
1.5784004E-4,292
1.7581595E-4,293
1.6726374E-4,294
2.0524018E-4,295
1.6909033E-4,296
2.0550445E-4,297
1.8418043E-4,298
1.9060056E-4,299
2.1815283E-4,300
2.2092332E-4,301
2.440715E-4,302
1.9087899E-4,303
1.8894048E-4,304
3.0822214E-4,305
2.6466732E-4,306
3.1807114E-4,307
2.9261745E-4,308
3.8832094E-4,309
2.8132746E-4,310
2.6815894E-4,311
1.6794157E-4,312
2.6518104E-4,313
2.34137E-4,314
2.2031025E-4,315
2.2861616E-4,316
1.7857064E-4,317
1.6017312E-4,318
1.9337895E-4,319
3.06812E-4,320
1.1582712E-4,321
2.5330303E-4,322
3.1669423E-4,323
2.8586749E-4,324
2.512369E-4,325
2.2404775E-4,326
1.463906E-4,327
1.2777871E-4,328
1.6424729E-4,329
8.486584E-5,330
1.0200664E-4,331
2.4854176E-4,332
1.4290215E-4,333
1.1959373E-4,334
1.0553096E-4,335
2.7779242E-4,336
2.3174127E-4,337
1.6150976E-4,338
2.1436058E-4,339
1.166745E-4,340
1.7038986E-4,341
1.7008641E-4,342
1.8248627E-4,343
2.965482E-4,344
4.1565122E-4,345
2.2353748E-4,346
1.2916901E-4,347
8.2024744E-5,348
1.6437247E-4,349
9.595917E-5,350
2.8275116E-4,351
2.136802E-4,352
2.18511E-4,353
1.2838119E-4,354
1.696077E-4,355
2.0766228E-4,356
2.8603512E-4,357
4.4126657E-4,358
3.172998E-4,359
1.5183144E-4,360
1.3596994E-4,361
9.081823E-5,362
1.5625E-4,363
1.402792E-4,364
3.5783995E-4,365
7.3529896E-4,366
8.9941354E-4,367
0.0012169174,368
0.0013785792,369
0.0023266904,370
7.1043795E-4,371
2.7184823E-4,372
5.87401E-4,373
