@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.13146994,215.33203,9.0,497
0.18151827,172.26562,10.0,498
0.2719767,129.19922,8.0,499
0.14009175,86.13281,12.0,500
0.16451053,129.19922,14.0,501
0.23352414,86.13281,6.0,502
0.2460458,129.19922,6.0,503
0.34946084,129.19922,11.0,504
0.14641087,430.66406,20.0,505
0.47078443,86.13281,10.0,506
0.21263812,43.066406,4.0,507
0.4027101,86.13281,7.0,508
0.11284465,129.19922,7.0,509
0.18849769,86.13281,10.0,510
0.14735736,129.19922,12.0,511
0.17213555,172.26562,13.0,512
0.43303856,86.13281,11.0,513
0.3713041,86.13281,7.0,514
0.24838442,86.13281,6.0,515
0.29681128,129.19922,34.0,516
0.179437,129.19922,11.0,517
0.16735865,86.13281,6.0,518
0.4761738,215.33203,12.0,519
0.28917247,215.33203,8.0,520
0.2507488,129.19922,8.0,521
0.25065804,172.26562,10.0,522
0.14182903,129.19922,11.0,523
0.21229242,172.26562,10.0,524
0.24079147,172.26562,16.0,525
0.16213167,258.39844,14.0,526
0.13368344,172.26562,8.0,527
0.17099856,172.26562,8.0,528
0.15111513,86.13281,22.0,529
0.16277452,172.26562,9.0,530
0.15025842,86.13281,7.0,531
0.29092166,129.19922,10.0,532
0.44298074,129.19922,10.0,533
0.40063748,86.13281,10.0,534
0.31314793,86.13281,43.0,535
0.24579081,86.13281,6.0,536
0.18993236,258.39844,10.0,537
0.18724255,172.26562,10.0,538
0.2926914,258.39844,11.0,539
0.33406335,129.19922,15.0,540
0.2699671,129.19922,29.0,541
0.24187827,172.26562,17.0,542
0.28278306,86.13281,6.0,543
0.18396395,258.39844,12.0,544
0.227929,129.19922,10.0,545
0.28339925,258.39844,9.0,546
0.31555375,215.33203,19.0,547
0.159958,172.26562,11.0,548
0.23011954,129.19922,7.0,549
0.26439115,387.59766,25.0,550
0.19984055,172.26562,12.0,551
0.19495526,86.13281,8.0,552
0.17522576,86.13281,10.0,553
0.15161803,129.19922,9.0,554
0.14031921,129.19922,9.0,555
0.21514459,129.19922,10.0,556
0.20557004,172.26562,12.0,557
0.21045811,1679.5898,27.0,558
0.19749923,129.19922,9.0,559
0.14544044,86.13281,6.0,560
0.49166855,86.13281,27.0,561
0.3051858,86.13281,20.0,562
0.31467175,86.13281,5.0,563
0.26395145,172.26562,16.0,564
0.19787839,172.26562,12.0,565
0.178173,86.13281,5.0,566
0.18935424,86.13281,8.0,567
0.4282406,86.13281,11.0,568
0.20984472,43.066406,5.0,569
0.26396537,86.13281,11.0,570
0.31050703,86.13281,7.0,571
0.14871654,172.26562,12.0,572
0.19290657,129.19922,9.0,573
0.3125681,344.53125,15.0,574
0.28325367,344.53125,12.0,575
0.2276854,172.26562,8.0,576
0.14185333,129.19922,13.0,577
0.2593306,129.19922,8.0,578
0.16533835,172.26562,12.0,579
0.18434256,172.26562,8.0,580
0.19233496,172.26562,13.0,581
0.15490764,129.19922,7.0,582
0.11173703,430.66406,17.0,583
0.2127194,86.13281,15.0,584
0.17423311,86.13281,7.0,585
0.12603545,86.13281,6.0,586
0.2468108,430.66406,12.0,587
0.31924585,86.13281,11.0,588
0.2174856,129.19922,9.0,589
0.22364388,559.8633,48.0,590
0.32245702,129.19922,10.0,591
0.26869965,129.19922,19.0,592
0.26565543,129.19922,10.0,593
0.15175943,172.26562,21.0,594
0.21434416,129.19922,7.0,595
0.20649946,129.19922,23.0,596
0.1874185,129.19922,7.0,597
0.12270401,215.33203,12.0,598
0.10549642,172.26562,13.0,599
0.21774486,387.59766,20.0,600
0.35467017,258.39844,12.0,601
0.2622201,215.33203,18.0,602
0.18796238,86.13281,25.0,603
0.1805252,215.33203,12.0,604
0.18795769,172.26562,12.0,605
0.18196927,86.13281,9.0,606
0.13933475,258.39844,10.0,607
0.17720659,172.26562,8.0,608
0.17041188,129.19922,6.0,609
0.1684455,86.13281,8.0,610
0.16615564,129.19922,8.0,611
0.1859948,258.39844,15.0,612
0.20102242,301.46484,18.0,613
0.12244728,86.13281,6.0,614
0.2909141,129.19922,7.0,615
0.37912056,86.13281,10.0,616
0.32790402,86.13281,9.0,617
0.19259745,172.26562,10.0,618
0.2544938,172.26562,11.0,619
0.21183008,172.26562,10.0,620
0.17359449,215.33203,11.0,621
0.5050972,86.13281,6.0,622
0.31216237,86.13281,12.0,623
0.40605918,86.13281,10.0,624
0.17100428,172.26562,10.0,625
0.08774012,258.39844,9.0,626
0.16529018,129.19922,7.0,627
0.32087177,258.39844,16.0,628
0.31452706,215.33203,8.0,629
0.1819948,344.53125,10.0,630
0.15177073,301.46484,18.0,631
0.16594002,86.13281,6.0,632
0.17706554,86.13281,11.0,633
0.22084771,86.13281,6.0,634
0.2094883,86.13281,8.0,635
0.10757525,2627.0508,19.0,636
0.121796526,129.19922,6.0,637
0.18805133,129.19922,8.0,638
0.17816181,129.19922,12.0,639
0.20275648,86.13281,8.0,640
0.12768675,129.19922,8.0,641
0.16930483,86.13281,10.0,642
0.52459574,129.19922,17.0,643
0.2798354,129.19922,17.0,644
0.42044368,86.13281,14.0,645
0.22464585,86.13281,11.0,646
0.22950697,129.19922,10.0,647
0.2943234,129.19922,11.0,648
0.18768433,86.13281,12.0,649
0.43998057,86.13281,13.0,650
0.25228757,86.13281,11.0,651
0.3124476,86.13281,6.0,652
0.20290194,129.19922,10.0,653
0.1924743,129.19922,10.0,654
0.21376422,172.26562,26.0,655
0.33644533,258.39844,10.0,656
0.3690168,215.33203,12.0,657
0.16460468,344.53125,9.0,658
0.14642608,86.13281,8.0,659
0.16824763,215.33203,12.0,660
0.11634391,86.13281,8.0,661
0.20953742,86.13281,14.0,662
0.11085292,559.8633,21.0,663
0.20562032,559.8633,14.0,664
0.17380929,172.26562,10.0,665
0.24451593,172.26562,8.0,666
0.33438495,172.26562,13.0,667
0.364938,172.26562,14.0,668
0.1995987,129.19922,7.0,669
0.25887522,172.26562,16.0,670
0.37934074,86.13281,7.0,671
0.282247,43.066406,12.0,672
0.31945884,86.13281,10.0,673
0.1953811,129.19922,10.0,674
0.2034848,86.13281,9.0,675
0.21220219,129.19922,8.0,676
0.21095462,172.26562,8.0,677
0.39201012,86.13281,16.0,678
0.18465869,43.066406,6.0,679
0.26904598,86.13281,5.0,680
0.12549831,172.26562,16.0,681
0.1840128,172.26562,10.0,682
0.2637486,129.19922,10.0,683
0.338125,215.33203,9.0,684
0.28529865,344.53125,10.0,685
0.19761558,172.26562,12.0,686
0.1481848,172.26562,9.0,687
0.17679527,86.13281,9.0,688
0.16469711,172.26562,18.0,689
0.110012196,86.13281,9.0,690
0.08239297,2627.0508,19.0,691
0.24276264,129.19922,7.0,692
0.24928916,172.26562,8.0,693
0.21987994,172.26562,9.0,694
0.2970924,129.19922,16.0,695
0.27855402,129.19922,15.0,696
0.20832562,430.66406,16.0,697
0.29984805,86.13281,9.0,698
0.2326083,86.13281,6.0,699
0.3010936,43.066406,11.0,700
0.1920455,430.66406,10.0,701
0.2649371,129.19922,9.0,702
