@RELATION 'Music feature'
%rows=24
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0022680922,0.0014023067,0.0013421029,0.0030893313,0.0013066481,0.0019741647,0.0012895026,0.0013170965,0.004701591,7.9755636E-4,0.0013854777,0.0013200359,0.10219437,0.06318431,0.060471684,0.13919728,0.058874186,0.08895075,0.058101654,0.05934496,0.21184154,0.035935827,0.062426046,0.0594774,34
0.0017767366,0.0020839544,0.0011407665,0.0027721121,0.0013490978,0.0018383532,9.7455323E-4,0.0015430264,0.003989258,0.0012083225,0.0010023701,8.7244716E-4,0.086455,0.101404056,0.055509057,0.13488941,0.06564634,0.08945323,0.04742121,0.0750828,0.19411504,0.058796294,0.048774768,0.042452786,35
0.0027005856,0.0013394277,0.0012307161,0.003392506,0.0012798157,0.0018667752,0.0012432464,0.00138188,0.0034379174,0.0011579855,0.0012178379,0.0011654388,0.12611231,0.06254877,0.057472143,0.15842369,0.059765004,0.087174915,0.058057286,0.064531215,0.16054434,0.054075763,0.056870755,0.054423813,36
0.0027231963,0.0011994824,0.0011660852,0.0038915738,0.0017644337,0.002456505,0.0011852835,0.0012522046,0.004695674,8.605923E-4,0.0015575264,0.0013412766,0.113024615,0.04978379,0.048397664,0.16151741,0.07323176,0.10195576,0.049194477,0.051971994,0.19489111,0.035718363,0.064644195,0.055668876,37
0.0015220954,0.0013781441,0.0012923615,0.0034975174,0.0013768243,0.0016558216,0.0015440991,0.0015335702,0.0037633695,0.0014858623,0.0015275483,0.0011897704,0.06992679,0.06331351,0.05937256,0.16067992,0.06325287,0.07607032,0.07093766,0.07045396,0.17289348,0.068262205,0.07017731,0.054659408,38
0.0028647727,0.0012062388,0.0018495875,0.0029175978,0.001376827,0.001605826,9.77863E-4,0.0015672139,0.005922966,9.516354E-4,0.0010130471,0.0013925607,0.12115183,0.051012088,0.078219436,0.12338581,0.058226302,0.067910716,0.041354027,0.0662778,0.25048348,0.04024486,0.04284197,0.05889168,39
0.0023179327,0.0013600586,0.0013235258,0.0050411406,0.0014497901,0.002100685,0.0015512191,0.0011643029,0.0057680216,0.0011188594,0.001006176,0.0010689205,0.091724366,0.053819727,0.05237407,0.19948614,0.05737055,0.08312751,0.06138426,0.04607336,0.22825,0.044275086,0.03981602,0.04229892,40
0.004087907,9.420972E-4,0.0011550211,0.0030220896,0.0011431922,0.0019231747,0.0014599328,0.0012298058,0.008057138,8.017602E-4,7.823127E-4,0.0012437578,0.1581506,0.03644732,0.044684798,0.11691688,0.044227168,0.07440269,0.05648105,0.047578026,0.31170997,0.031018041,0.030265668,0.048117794,41
0.003662035,0.0013649163,0.0011930082,0.007497743,0.001372553,0.0022848547,0.0013050248,0.0014409845,0.005326477,9.2985044E-4,0.0016184788,0.0013633118,0.12473196,0.04649018,0.04063485,0.25537935,0.046750292,0.07782405,0.044450227,0.049081128,0.18142422,0.03167148,0.05512673,0.04643553,42
0.0054379865,0.0013899573,0.0011538747,0.009216903,0.001027227,0.006677258,0.0012731649,0.0011913797,0.017157929,0.001259931,0.0029290102,0.0012099156,0.10892413,0.027841166,0.023112377,0.18461668,0.020575594,0.13374701,0.025501786,0.023863612,0.34367728,0.02523671,0.05866875,0.024234891,43
0.0055410243,0.0028321007,0.0012356028,0.008037111,8.8951096E-4,0.008073336,9.0612285E-4,0.0012867498,0.03712638,0.001350821,0.0038887882,0.001144884,0.07662617,0.03916478,0.017087003,0.111144245,0.01230094,0.11164521,0.012530665,0.017794311,0.5134163,0.018680342,0.05377759,0.015832465,44
0.009712787,0.0017628052,9.73809E-4,0.007850562,0.0019546754,0.004814879,0.0011096469,0.0016587944,0.016451824,0.0013282376,0.008527423,0.0015403668,0.16837394,0.03055873,0.016881257,0.13609174,0.033884853,0.083467305,0.019236043,0.028755672,0.28519708,0.023025377,0.1478253,0.026702698,45
0.014761466,0.006307688,0.0013752435,0.013834674,0.0021027972,0.008295858,0.0013134462,0.0021977304,0.03338095,0.0013034083,0.0054721306,0.001278066,0.16111012,0.068843596,0.015009732,0.15099488,0.022950424,0.09054295,0.014335262,0.023986548,0.36432755,0.014225705,0.059724122,0.013949113,46
0.0055490322,0.011150535,0.0014749533,0.022463573,0.0027014944,0.010892808,0.0010075272,0.0020215136,0.019846804,0.0014185432,0.0027722523,0.0011036976,0.06734039,0.13531753,0.017899325,0.27260715,0.032784037,0.13218988,0.012226866,0.024532119,0.24085128,0.017214758,0.03364272,0.013393943,47
0.0046972698,0.008746391,0.0014887039,0.035376046,0.008542905,0.01251411,0.0012653468,0.0019863883,0.042800914,0.0034507518,0.0028932497,0.0011643847,0.03760028,0.07001232,0.011916642,0.28317496,0.06838346,0.10017181,0.010128733,0.015900461,0.34260887,0.027622266,0.023159623,0.009320561,48
0.009285263,0.0039407243,0.0011589301,0.027961947,0.011407376,0.016800726,0.0013651964,0.0032288486,0.048395745,0.0013761664,0.007976251,0.0029335257,0.06835909,0.02901203,0.0085321665,0.20585881,0.08398231,0.12368872,0.010050721,0.023771126,0.3562946,0.010131483,0.058722004,0.021596927,49
0.010244733,0.0073846043,0.0014485244,0.019790528,0.0045397216,0.013574626,0.0013768724,0.009422672,0.027130747,0.0021145712,0.012774287,0.0013662112,0.09215533,0.06642737,0.013030037,0.17802344,0.04083655,0.122109,0.0123855,0.08476058,0.24405156,0.019021386,0.11490965,0.012289598,50
0.019029077,0.008081235,0.0016920072,0.036513258,0.0020394058,0.010080248,0.001523595,0.014023153,0.058435943,0.0015169389,0.016191807,0.0021562092,0.11109737,0.047180634,0.009878438,0.21317518,0.011906653,0.058851466,0.008895197,0.08187131,0.3411663,0.008856337,0.09453254,0.012588587,51
0.023427533,0.006994694,0.003528723,0.041856043,0.00299391,0.003842322,0.0016615872,0.007289412,0.060165938,0.012831292,0.01201467,0.0019121004,0.13123327,0.03918196,0.019766739,0.23446369,0.016770894,0.021523414,0.009307661,0.040832873,0.33702967,0.071876645,0.067302205,0.010710954,52
0.024002528,0.011568965,0.0018956383,0.048218597,0.00602002,0.00629826,0.0017675397,0.0034726658,0.046358842,0.014914784,0.017717982,0.0022983325,0.13007092,0.06269281,0.010272561,0.26129904,0.032622796,0.034130592,0.009578387,0.018818554,0.25122094,0.08082397,0.09601465,0.012454782,53
0.026409052,0.017819459,0.0017779794,0.05482646,0.0059771934,0.009660527,0.001329607,0.0050753728,0.052002363,0.0052985246,0.016877271,0.01523662,0.12440058,0.08393906,0.008375222,0.25826156,0.028155737,0.045506183,0.006263151,0.023907686,0.24495858,0.024958847,0.079500854,0.07177252,54
0.039483055,0.016433878,0.0024186906,0.056625467,0.00720192,0.015890932,0.0013803507,0.007832693,0.056061786,0.002385082,0.008242588,0.015414014,0.17213662,0.071647756,0.010544909,0.24687341,0.031398635,0.06928064,0.006017997,0.034148656,0.2444159,0.010398383,0.0359357,0.0672014,55
0.05283295,0.009769138,0.001680214,0.054533485,0.013440773,0.014642516,0.0055961884,0.0105497055,0.055982616,0.004648731,0.0061291093,0.0077706976,0.22238325,0.04112003,0.0070723183,0.2295411,0.056574594,0.061632946,0.02355535,0.04440558,0.23564075,0.019567333,0.025798507,0.032708243,56
0.055503864,0.015836343,0.0026597176,0.052345634,0.017345335,0.009518875,0.0046779765,0.009601902,0.056184277,0.005418769,0.0038001353,0.0027701475,0.23552221,0.06719911,0.011286107,0.22212073,0.0736023,0.0403919,0.01985028,0.04074421,0.23840943,0.022993723,0.016125295,0.0117547,57
0.044950005,0.025958119,0.016288638,0.052360702,0.021376776,0.031397287,0.0022658329,0.009238891,0.07343589,0.006239599,0.0052597336,0.0033918275,0.15385233,0.08884798,0.05575183,0.17921725,0.07316721,0.10746486,0.0077553648,0.031622354,0.2513522,0.021356547,0.018002719,0.011609355,58
0.04096782,0.013746191,0.021259878,0.04820314,0.014870203,0.04251609,0.0018092588,0.012812135,0.06948235,0.0076451944,0.0077667516,0.0038300557,0.14379261,0.048247643,0.07461987,0.1691878,0.052192803,0.14922687,0.006350303,0.04496921,0.24387553,0.026833804,0.027260458,0.013443081,59
0.05172922,0.0052464544,0.012230378,0.08590635,0.0078079347,0.03262032,0.0032124901,0.01626954,0.054550447,0.01102883,0.009051155,0.0053360425,0.17535974,0.017785244,0.041460432,0.29121867,0.026468547,0.11058141,0.010890197,0.055153012,0.18492356,0.037387237,0.03068301,0.018088944,60
0.047671646,0.0052255504,0.003547215,0.06593813,0.01804153,0.031702053,0.0032234718,0.027935352,0.040191103,0.007416772,0.012227098,0.009340765,0.17496707,0.019179098,0.013019181,0.2420097,0.066217005,0.11635459,0.011830961,0.102529846,0.14751157,0.027221441,0.04487656,0.034282982,61
0.0550226,0.0048663686,0.006571782,0.06593288,0.031022161,0.032574635,0.0021151572,0.024591716,0.075998306,0.009560216,0.014915307,0.0072165253,0.16653952,0.014729269,0.019891124,0.19956216,0.09389625,0.0985952,0.0064020464,0.07443292,0.23002769,0.028936358,0.045144867,0.0218426,62
0.074532345,0.0031396514,0.0066215354,0.06206319,0.022079542,0.04590216,0.0036896796,0.016901428,0.093165696,0.016621696,0.013688783,0.009622634,0.20251796,0.008531005,0.017991917,0.168637,0.05999414,0.12472452,0.010025531,0.045924254,0.25314814,0.045164175,0.037194915,0.02614645,63
0.037372626,0.0059178495,0.0025451367,0.061290726,0.005950184,0.052515145,0.012324691,0.008772492,0.07149577,0.02795083,0.01736177,0.00994867,0.119231515,0.018879972,0.00811986,0.19553846,0.01898313,0.16754134,0.039319996,0.027987264,0.22809605,0.08917274,0.05539,0.031739675,64
0.080001675,0.007037146,0.005873301,0.07110029,0.005641353,0.04824529,0.027429316,0.011333208,0.062756985,0.03486168,0.038333286,0.0063866903,0.20050535,0.017636947,0.014720044,0.17819612,0.014138721,0.12091544,0.068745114,0.028404012,0.15728559,0.087372586,0.096073344,0.016006734,65
0.05687771,0.010572194,0.0076555465,0.077187896,0.0064474386,0.042954233,0.028363595,0.03375854,0.04949344,0.026905855,0.050083958,0.010461194,0.14192405,0.026380258,0.019102495,0.19260302,0.016087966,0.107181504,0.070774235,0.084235966,0.12349846,0.06713681,0.12497194,0.026103286,66
0.072696544,0.0129867075,0.007753359,0.072353736,0.0046079964,0.040308774,0.007003727,0.04742692,0.04749808,0.013289167,0.053901322,0.017799778,0.18282638,0.0326606,0.01949912,0.18196425,0.011588767,0.10137355,0.01761385,0.11927517,0.11945412,0.033421263,0.1355578,0.04476511,67
0.04241828,0.017412584,0.012383228,0.06284029,0.003674974,0.046439365,0.006727481,0.03979126,0.064921856,0.00921504,0.046899077,0.030826729,0.110593826,0.045398455,0.03228581,0.16383852,0.009581469,0.12107768,0.017540028,0.1037446,0.16926563,0.024025645,0.122276254,0.08037209,68
0.09369947,0.010958499,0.014958618,0.09056885,0.0053506377,0.052936338,0.004484295,0.020134496,0.08302261,0.004951863,0.029862758,0.030615384,0.21220878,0.0248186,0.03387799,0.2051186,0.012118022,0.11988921,0.010155945,0.04560022,0.18802802,0.011214884,0.0676326,0.06933714,69
