@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral bandwidth' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2499.0122,485
2412.8308,486
3001.8726,487
3599.0076,488
3758.555,489
3329.6335,490
2356.1772,491
2331.6948,492
2199.7578,493
2430.3599,494
2474.9753,495
2234.351,496
2377.121,497
2427.0923,498
2557.9878,499
2548.6692,500
2353.3416,501
2520.8188,502
2375.6343,503
2312.633,504
1964.4802,505
2051.6125,506
2178.2688,507
2217.128,508
1892.5299,509
2103.737,510
2028.6083,511
2171.7732,512
2183.4138,513
2522.7556,514
3113.6677,515
2172.902,516
2197.9556,517
2416.8772,518
2130.125,519
2400.6753,520
2410.8877,521
2216.9033,522
2092.5923,523
2303.7031,524
2401.425,525
2361.7747,526
2459.169,527
2365.2979,528
2272.5735,529
2165.4487,530
1901.8542,531
2238.8196,532
2185.377,533
2113.032,534
2272.1973,535
2203.1821,536
2068.0496,537
2212.7146,538
2210.7576,539
2035.2999,540
1805.5278,541
1946.2178,542
2021.4135,543
1917.8076,544
1890.5348,545
1911.3542,546
2203.3494,547
2290.5232,548
2272.4827,549
2318.347,550
2436.7551,551
2241.3467,552
2149.387,553
2002.302,554
2050.6375,555
2032.4476,556
1971.9867,557
1796.9294,558
1898.3917,559
1777.473,560
2079.8145,561
2420.9565,562
2213.3733,563
2120.7778,564
2131.172,565
2083.0374,566
2045.3092,567
2101.7495,568
1896.2365,569
1934.2976,570
2264.9128,571
2039.7494,572
2107.1482,573
2251.4,574
2422.2866,575
2560.971,576
2487.658,577
2435.3782,578
2389.0625,579
2459.289,580
2539.1772,581
2611.332,582
2384.6682,583
2274.0413,584
2417.3767,585
2411.8457,586
2011.118,587
2013.6171,588
2166.1694,589
2335.7495,590
2465.495,591
2558.007,592
2363.1575,593
2733.1067,594
2627.7024,595
2767.3398,596
3097.7942,597
3292.2375,598
3534.851,599
3470.3928,600
2307.2236,601
2481.2239,602
2386.7158,603
2266.6504,604
2260.7588,605
2416.3308,606
2138.3994,607
2433.21,608
2431.5686,609
2406.73,610
2654.7654,611
2272.7305,612
2326.8564,613
2291.497,614
2139.5188,615
1872.7323,616
1793.272,617
1925.3813,618
1837.4554,619
2164.3818,620
2021.3728,621
1955.4093,622
1986.6028,623
2158.324,624
2342.1453,625
2384.164,626
2071.076,627
1954.1968,628
2200.5623,629
2213.9534,630
2306.7998,631
2309.313,632
2455.2222,633
2354.0122,634
2227.291,635
1923.9335,636
2034.3966,637
2301.3982,638
2115.6394,639
2326.7688,640
2362.999,641
2193.5925,642
1906.1495,643
1948.9269,644
1880.6089,645
1960.2328,646
2029.8119,647
2102.3704,648
2037.7987,649
2102.307,650
1906.2285,651
1985.7046,652
2102.537,653
2011.5283,654
1999.9493,655
2267.412,656
2994.9983,657
2893.5234,658
2915.639,659
2911.848,660
2806.918,661
2717.7676,662
1977.0431,663
1988.9636,664
2072.4258,665
2100.7092,666
1838.7106,667
1954.8456,668
2005.4125,669
2119.0515,670
2143.9407,671
1904.7493,672
1916.1819,673
1790.9,674
1816.2295,675
1685.0543,676
2023.2032,677
1986.4481,678
1803.2794,679
1742.2726,680
2009.8295,681
2569.81,682
2754.2935,683
2608.2031,684
2908.0205,685
2709.295,686
2687.2893,687
2552.416,688
2497.394,689
2455.4578,690
2310.651,691
2319.1172,692
2468.8386,693
2382.3088,694
2396.5645,695
2312.7476,696
2021.7208,697
