@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral skewness' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.8788237,473
0.90154845,474
0.9803558,475
1.0111573,476
1.1634185,477
1.2200055,478
1.0037285,479
0.82409,480
0.87537175,481
0.9375158,482
0.82440895,483
0.76092476,484
0.8342115,485
0.86013573,486
0.6941803,487
0.25207394,488
0.32511207,489
0.6172865,490
1.0175744,491
1.0324476,492
1.0859814,493
0.86077607,494
0.74611706,495
0.9526766,496
0.8993161,497
0.85752,498
0.87989104,499
0.75165397,500
0.8339441,501
0.85325587,502
0.9616015,503
1.0576502,504
1.2009693,505
1.2735535,506
1.0894055,507
1.1195138,508
1.177273,509
1.0849828,510
1.060255,511
1.0597384,512
1.1296295,513
0.94123673,514
0.5567183,515
1.1689398,516
1.040189,517
0.82925874,518
1.1112555,519
0.95362175,520
0.8996453,521
0.9870866,522
0.91453093,523
0.8545881,524
0.85930943,525
0.9039053,526
0.82648563,527
0.82060504,528
0.9353613,529
0.9465655,530
1.1446954,531
0.9834848,532
1.1185508,533
1.0701585,534
0.9242956,535
0.9662442,536
1.0859632,537
0.9889347,538
1.059805,539
1.3081855,540
1.5130974,541
1.2563548,542
1.2896091,543
1.2367033,544
1.3767351,545
1.3423961,546
1.0896227,547
0.97936004,548
1.034287,549
0.93362236,550
0.8002726,551
0.9691329,552
0.9441113,553
0.9584272,554
1.0316179,555
1.1059644,556
1.1946952,557
1.2695025,558
1.212863,559
1.1840515,560
1.2468264,561
0.9619961,562
1.1712593,563
1.1079876,564
1.0478185,565
1.0973828,566
1.0532537,567
1.1783512,568
1.2295966,569
1.2494605,570
1.0139034,571
1.1472181,572
1.0420107,573
1.0480775,574
0.9449603,575
0.8595,576
0.77838045,577
0.9270536,578
0.87894166,579
0.7989543,580
0.7642784,581
0.7485574,582
0.8355666,583
1.0858663,584
0.8569795,585
0.8271677,586
1.1958612,587
1.2836716,588
1.0412644,589
0.8562041,590
1.0126848,591
0.8451281,592
0.9189432,593
0.7256509,594
0.87549263,595
0.7688378,596
0.63921857,597
0.5514061,598
0.37314445,599
0.5107024,600
1.091829,601
0.87873006,602
0.9097167,603
0.90925294,604
0.9474256,605
0.9020329,606
0.9154438,607
0.90414155,608
0.9248943,609
0.8623549,610
0.64933884,611
1.0590658,612
1.0239892,613
0.9283366,614
1.186484,615
1.3458678,616
1.4135065,617
1.2836951,618
1.369911,619
1.0052581,620
1.033282,621
1.3050157,622
1.3290439,623
1.2197757,624
1.0451994,625
0.85179806,626
1.0286944,627
1.3052162,628
1.1045076,629
0.9765679,630
0.8519563,631
0.7961315,632
0.69325805,633
0.76013124,634
0.8622152,635
0.8554525,636
0.8407088,637
0.94360894,638
1.0471318,639
0.95872223,640
0.84973,641
1.005471,642
1.4716924,643
1.3979863,644
1.4035306,645
1.2411317,646
1.2066114,647
1.084873,648
1.0836285,649
1.2087045,650
1.2625016,651
1.2948369,652
1.1813546,653
1.2549512,654
1.2331929,655
0.95459014,656
0.46690673,657
0.2837041,658
0.39107147,659
0.44507346,660
0.331231,661
0.5700661,662
1.027099,663
1.1868036,664
1.0427363,665
1.2024002,666
1.3998657,667
1.3004524,668
1.1148198,669
1.0451685,670
1.1646881,671
1.3287853,672
1.3058454,673
1.3095375,674
1.2542579,675
1.4271078,676
1.1476989,677
1.3069484,678
1.3626491,679
1.4080515,680
1.1605374,681
1.0271173,682
0.8585971,683
0.93423724,684
0.80552614,685
0.84274304,686
0.73333305,687
0.75715464,688
0.73218966,689
0.76859295,690
0.7930457,691
