@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.037844952,3316.1133,21.0,313
0.05567694,2756.25,4.0,314
0.05768223,775.1953,1.0,315
0.059592232,2067.1875,10.0,316
0.059106126,2153.3203,16.0,317
0.05377243,2110.254,7.0,318
0.05873544,1550.3906,20.0,319
0.057706024,2497.8516,8.0,320
0.043917205,473.73047,6.0,321
0.042673424,2368.6523,9.0,322
0.036084596,2540.918,16.0,323
0.048273142,904.39453,15.0,324
0.07576469,1851.8555,15.0,325
0.06021067,2239.4531,6.0,326
0.055228733,1421.1914,22.0,327
0.05155744,1679.5898,6.0,328
0.014340621,3316.1133,190.0,329
0.031503286,2670.1172,198.0,330
0.019153502,2153.3203,6.0,331
0.027430303,430.66406,11.0,332
0.03938801,1808.7891,11.0,333
0.05056354,2583.9844,9.0,334
0.043489482,2368.6523,18.0,335
0.02688458,2067.1875,21.0,336
0.013319475,2454.7852,18.0,337
NaN,NaN,NaN,338
0.0468889,2928.5156,3.0,339
0.045111544,129.19922,11.0,340
0.016941888,689.0625,7.0,341
0.026020411,2799.3164,18.0,342
0.011289102,1636.5234,11.0,343
NaN,NaN,NaN,344
NaN,NaN,NaN,345
0.0314754,1550.3906,30.0,346
0.02922879,1851.8555,20.0,347
0.034137517,473.73047,4.0,348
0.031015296,2583.9844,8.0,349
0.008818225,1291.9922,15.0,350
NaN,NaN,NaN,351
NaN,NaN,NaN,352
0.046265054,2971.582,6.0,353
0.037110236,258.39844,23.0,354
0.029983219,473.73047,12.0,355
0.023341471,2799.3164,10.0,356
0.0061182175,3445.3125,176.0,357
NaN,NaN,NaN,358
0.017177463,3746.7773,169.0,359
0.03351834,3057.7148,4.0,360
0.03840966,344.53125,28.0,361
0.036154862,3832.9102,18.0,362
0.0314531,3703.711,177.0,363
NaN,NaN,NaN,364
NaN,NaN,NaN,365
NaN,NaN,NaN,366
0.08687099,3273.0469,20.0,367
0.059547294,2842.3828,12.0,368
0.057089362,3875.9766,15.0,369
0.0485746,3229.9805,181.0,370
0.06635598,2411.7188,2.0,371
0.040879253,2368.6523,6.0,372
0.043536633,5727.832,159.0,373
0.05407611,2713.1836,12.0,374
0.043043047,3316.1133,17.0,375
0.039252944,2411.7188,5.0,376
0.06966883,3229.9805,18.0,377
0.055307988,3229.9805,19.0,378
0.039934948,3057.7148,26.0,379
0.034940775,3746.7773,114.0,380
0.047093395,4521.9727,178.0,381
0.052578747,1421.1914,7.0,382
0.04864928,1076.6602,17.0,383
0.043221876,1679.5898,18.0,384
0.05309729,1033.5938,4.0,385
0.057649177,1033.5938,19.0,386
0.052560635,2928.5156,15.0,387
0.047560133,3488.379,10.0,388
0.051414397,5038.7695,62.0,389
0.060183328,732.1289,27.0,390
0.045177516,3875.9766,166.0,391
0.049775317,2713.1836,14.0,392
0.041136816,3057.7148,18.0,393
0.04255559,2110.254,6.0,394
0.06794247,1076.6602,19.0,395
0.03654632,3875.9766,172.0,396
0.07128236,818.2617,13.0,397
0.0483712,2368.6523,3.0,398
0.0811664,1679.5898,15.0,399
0.047466982,2239.4531,12.0,400
0.06451675,3229.9805,8.0,401
0.05287208,3574.5117,14.0,402
0.04628682,3574.5117,13.0,403
0.048932884,2540.918,22.0,404
0.043283697,1679.5898,16.0,405
0.07227152,2756.25,25.0,406
0.04929774,3531.4453,18.0,407
0.043914083,1076.6602,12.0,408
0.07105114,3402.246,24.0,409
0.07669438,3660.6445,180.0,410
0.040014923,990.52734,33.0,411
0.07238247,775.1953,6.0,412
0.08672309,3919.043,20.0,413
0.06838103,2756.25,1.0,414
0.0787587,3746.7773,171.0,415
0.043143038,3531.4453,7.0,416
0.062124573,3875.9766,33.0,417
0.03101823,1937.9883,24.0,418
0.039407834,1033.5938,27.0,419
0.03529513,3531.4453,15.0,420
0.060022663,1033.5938,18.0,421
0.04247931,2282.5195,4.0,422
0.047439076,3402.246,13.0,423
0.05785364,2540.918,12.0,424
0.05585059,3445.3125,9.0,425
0.062996335,1119.7266,5.0,426
0.05488195,2411.7188,8.0,427
0.054032963,1722.6562,14.0,428
0.07385923,3359.1797,14.0,429
0.05889116,645.9961,3.0,430
0.059261527,2497.8516,16.0,431
0.066465974,2411.7188,16.0,432
0.051580258,2756.25,7.0,433
0.05297565,3746.7773,177.0,434
0.060847767,3617.5781,175.0,435
0.055158176,2756.25,10.0,436
0.042546604,2411.7188,23.0,437
0.049887396,6546.0938,37.0,438
0.049779583,3531.4453,36.0,439
0.04976074,4478.9062,18.0,440
0.052446213,3617.5781,18.0,441
0.05401354,4435.84,40.0,442
0.05672405,3617.5781,30.0,443
0.047467493,1894.9219,33.0,444
0.06871809,1894.9219,7.0,445
0.048091184,2454.7852,15.0,446
0.07623717,3402.246,15.0,447
0.07103775,2756.25,14.0,448
