@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2.1308472,2.9542851,4.590477,3.598349,194
2.653964,2.5677938,6.271086,7.589545,195
2.7911196,3.5113194,5.9524336,9.67135,196
2.5209544,4.2658253,5.356896,8.440898,197
2.6543195,4.2977557,5.6071844,9.054902,198
2.7126906,3.936164,6.8106065,9.052573,199
2.7510288,4.175536,6.2955346,5.752765,200
2.3884795,3.6889997,4.8826013,4.02869,201
2.075204,2.7909238,2.862363,2.6778076,202
2.383073,3.3741703,3.3075807,3.5704162,203
2.4282372,2.6927288,4.37453,3.7930572,204
2.579843,2.8614419,3.9897745,5.255213,205
2.3504894,3.1376479,4.2326813,5.193072,206
2.54697,3.336901,4.1445656,4.7105284,207
2.5177479,2.649545,3.13975,2.745362,208
1.8292736,2.900303,3.6962643,4.1698465,209
2.449027,4.995196,6.9768,4.7228165,210
2.4608727,5.2019196,8.262534,4.0822654,211
2.5656772,5.096742,7.223455,4.7292824,212
2.6256433,5.2302084,7.0340643,3.8513381,213
2.809637,5.175607,5.6011786,4.2183356,214
2.0734906,3.0578613,3.2362623,2.3948884,215
2.1844268,2.806782,3.2271836,4.2063317,216
2.42132,2.7353828,4.713165,4.277503,217
2.4724658,2.6972299,4.542625,5.4581914,218
2.472319,2.7086442,4.8409,3.3488169,219
2.7133167,2.8164647,4.8329964,4.6185727,220
2.4753177,3.011744,4.8476944,3.330201,221
2.364995,2.9269857,3.9428666,3.4011068,222
1.9077319,3.6048286,3.1744504,2.6510687,223
2.314467,4.051579,4.778242,3.4506683,224
2.4051754,4.507425,4.855704,4.1909795,225
2.3256543,4.4544706,4.82577,3.7530086,226
2.0076478,4.158312,4.8376184,3.2254658,227
2.4251037,3.7228978,3.4331436,4.0094857,228
2.3132296,3.6535747,3.9603088,3.5654523,229
2.5389085,3.1032407,3.3414042,3.0491323,230
2.3005855,2.8914812,3.329336,3.1784241,231
2.6334703,2.6828496,3.6658638,4.292503,232
2.3965845,2.6628299,3.2539735,3.032105,233
2.60006,2.650768,3.1429007,3.8109689,234
2.7974272,2.7470975,3.3627834,4.407562,235
2.5551984,3.2021613,2.70803,3.6687176,236
2.4166505,3.1432374,6.3088746,5.731282,237
2.5776699,4.3381553,4.735071,5.229552,238
2.6806808,4.411091,5.2193666,4.0182886,239
2.5769398,4.3923407,5.625687,5.9081264,240
2.5611732,4.998725,5.7586107,6.408489,241
2.4787097,4.6430316,6.007067,3.441036,242
2.4375162,3.6805835,3.228113,2.9592004,243
2.1356318,2.9276261,3.9285488,3.751899,244
2.1154132,2.7944324,4.064302,3.923477,245
2.5023797,2.7204354,4.130383,4.134329,246
2.4149535,2.5916955,3.455823,4.1960526,247
2.3564222,2.5814362,3.839424,3.818003,248
2.2454684,2.8578763,3.1134875,2.9730067,249
2.797457,2.4667659,4.565387,5.9677835,250
2.6051583,3.5230799,8.602031,7.091619,251
2.6973758,4.2303476,6.821812,7.983769,252
2.843266,4.4315586,6.7848053,7.807331,253
2.6857016,4.355476,7.0729594,8.289693,254
2.5493696,4.011893,5.3627086,5.374579,255
2.0845056,4.1331177,4.8819737,4.5838203,256
2.0493677,3.2658432,4.078949,4.783224,257
2.2182574,4.205491,4.4527273,8.605,258
2.3118026,4.2811103,4.551276,7.4442034,259
2.5871074,4.520355,5.124936,8.250816,260
2.5817459,4.1034126,5.844208,7.537104,261
2.5624413,4.44436,5.777738,6.946478,262
2.5415483,3.7740061,4.9946094,5.377408,263
1.993491,2.545442,4.603223,4.292454,264
2.4706736,2.4306247,5.1437864,5.144934,265
2.318885,2.85362,3.9227092,5.3856535,266
2.3940508,2.976521,4.1808863,5.048035,267
2.274285,2.505383,4.288432,3.854635,268
2.4995673,2.5547972,3.498545,4.468445,269
2.4884977,2.562522,2.4519153,3.6256826,270
1.9496918,2.8670797,4.1164804,5.139299,271
1.9126693,3.5147586,4.572256,4.081931,272
2.3519897,3.9522035,6.5130286,7.9215355,273
2.8997238,3.9491713,6.674136,7.381291,274
2.4024396,4.0162406,6.5444727,7.6036477,275
2.486609,3.944665,6.3491864,7.4018946,276
2.6750653,3.8628523,5.9724007,7.6261735,277
2.5141993,3.2357137,4.2982035,4.14036,278
2.201311,2.7375839,3.8314044,4.6371446,279
2.1354477,3.343732,4.7983494,4.221831,280
2.2504985,3.219422,4.085011,3.6367135,281
2.3972607,2.8358762,4.5564184,4.689975,282
2.4988658,2.709733,5.6939673,4.2394385,283
1.6228776,2.6907356,3.4717014,4.287897,284
1.806584,3.6306663,3.4571116,3.5134552,285
2.6009166,3.9186394,4.9668846,6.4417305,286
2.8040578,3.9230065,4.6394763,6.1096506,287
2.5241063,3.4032357,4.68458,6.544345,288
2.6814084,4.002075,5.05181,5.78452,289
2.535935,3.6998675,4.785519,4.999218,290
2.5212226,3.7783628,5.707603,3.9993968,291
2.4781122,4.2483315,6.556239,4.164904,292
2.6714282,4.573149,6.5226874,4.0557914,293
2.4736695,4.527364,6.8430753,4.579942,294
2.579289,4.4496217,5.584689,5.8397336,295
2.5130079,4.359058,5.149179,4.0630603,296
2.7786403,3.2510428,4.71272,4.494019,297
1.7582159,2.8219757,3.360855,3.5691972,298
1.5988029,2.8585896,4.16988,3.8289833,299
2.1715908,3.4037654,3.7951598,3.3472605,300
2.0358815,3.114449,3.8772073,3.866363,301
2.0460706,3.1313312,3.459301,3.3103304,302
2.2915592,2.99779,3.3426974,3.3471358,303
2.5452936,3.3913,2.5272381,2.6229565,304
2.5067313,2.4326892,5.329973,5.8182325,305
2.4885695,4.0991554,6.6042156,7.1126323,306
2.413736,3.9765096,5.9361224,8.029798,307
2.6582334,4.112598,6.3635354,6.9595914,308
2.8330832,3.976741,5.335538,7.0838695,309
2.5807412,3.3500884,5.4081903,5.3521757,310
