@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.04012147,2799.3164,12.0,336
0.031646967,732.1289,18.0,337
0.026532615,1205.8594,14.0,338
0.08210475,2670.1172,12.0,339
0.06578102,3229.9805,12.0,340
0.06774203,2368.6523,21.0,341
0.036515433,2454.7852,18.0,342
0.021733884,732.1289,18.0,343
0.015297187,645.9961,9.0,344
0.08405856,2497.8516,29.0,345
0.07655553,129.19922,10.0,346
0.059028815,2411.7188,12.0,347
0.051563986,2799.3164,16.0,348
0.056202184,430.66406,5.0,349
0.038365804,516.7969,6.0,350
0.009775497,645.9961,7.0,351
0.0035487036,645.9961,241.0,352
0.09044862,2670.1172,29.0,353
0.06746874,3229.9805,11.0,354
0.05371092,2368.6523,17.0,355
0.03545535,3229.9805,10.0,356
0.025615256,732.1289,10.0,357
0.021112362,645.9961,244.0,358
0.08906183,2497.8516,29.0,359
0.06751899,129.19922,9.0,360
0.062472682,2670.1172,15.0,361
0.06646484,215.33203,8.0,362
0.06287241,387.59766,9.0,363
0.050151993,516.7969,10.0,364
0.011801566,1205.8594,240.0,365
NaN,NaN,NaN,366
0.15598029,818.2617,14.0,367
0.18527569,430.66406,10.0,368
0.24826254,559.8633,12.0,369
0.24411184,559.8633,27.0,370
0.17244703,559.8633,17.0,371
0.09214352,2756.25,29.0,372
0.13302347,2799.3164,52.0,373
0.10026017,387.59766,11.0,374
0.088237524,732.1289,14.0,375
0.119008325,473.73047,34.0,376
0.10352398,387.59766,5.0,377
0.065623045,344.53125,4.0,378
0.07129822,301.46484,7.0,379
0.079494,559.8633,10.0,380
0.14005014,430.66406,7.0,381
0.17996345,559.8633,20.0,382
0.121354155,559.8633,9.0,383
0.07503213,2627.0508,12.0,384
0.10134356,645.9961,9.0,385
0.12512298,2627.0508,12.0,386
0.13481772,2627.0508,18.0,387
0.08753951,2885.4492,18.0,388
0.107287586,559.8633,25.0,389
0.11793846,258.39844,5.0,390
0.06759125,2454.7852,31.0,391
0.08142808,86.13281,2.0,392
0.1630391,301.46484,8.0,393
