@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
317.61475,164.96106,745
317.61475,163.90361,746
326.47113,179.33562,747
281.12793,134.0858,748
298.93152,170.3362,749
293.8649,131.90294,750
307.99005,158.36787,751
301.46484,161.79611,752
294.2871,138.62508,753
275.8578,147.99199,754
335.91797,283.14865,755
292.85156,155.72116,756
293.8649,148.62611,757
296.3982,124.80288,758
292.85156,162.71059,759
278.7983,144.78218,760
293.8649,148.25864,761
297.66486,157.15253,762
283.0078,124.939545,763
302.7315,194.427,764
276.34277,110.90703,765
295.13156,123.20497,766
316.26892,172.47054,767
273.52988,131.39832,768
271.64963,145.03358,769
305.15625,141.66966,770
296.6797,153.53568,771
295.13156,132.58841,772
289.50195,137.17216,773
297.66486,150.775,774
281.12793,138.24776,775
293.09082,163.93526,776
334.48242,164.81303,777
302.7699,164.75613,778
325.0819,161.45084,779
282.32422,135.9776,780
312.86478,150.02826,781
329.24963,212.8303,782
262.93173,143.78514,783
328.74023,174.93068,784
291.6211,143.79121,785
348.9864,190.37604,786
289.16016,139.86269,787
287.49738,144.77116,788
281.67758,127.28176,789
300.1598,165.77637,790
341.75278,180.3872,791
318.1357,195.58194,792
281.12793,160.01233,793
275.8578,150.34431,794
286.69922,136.1657,795
326.47113,168.32164,796
283.5205,147.58057,797
273.52988,134.04216,798
273.52988,160.58388,799
320.91418,167.9888,800
313.57727,156.85072,801
267.46506,117.38549,802
290.69824,127.34158,803
295.13156,116.37419,804
316.26892,180.99722,805
313.57727,135.00578,806
264.21823,132.51741,807
327.3047,176.3796,808
275.14648,145.7903,809
282.32422,145.14098,810
300.19818,150.0924,811
291.6211,183.60803,812
269.7317,123.672874,813
307.99005,175.53673,814
289.16016,169.02718,815
277.02176,176.44604,816
309.2951,179.44217,817
323.65057,184.58858,818
280.54688,151.43266,819
283.0078,141.63759,820
270.54538,149.80632,821
269.4411,124.02249,822
276.34277,128.1482,823
291.6211,199.64711,824
306.5315,175.01909,825
301.46484,172.26562,826
294.93964,142.29155,827
265.02405,130.67728,828
276.34277,156.39392,829
277.02176,132.28206,830
296.3982,182.0467,831
285.46875,162.4778,832
322.30344,180.6972,833
300.19818,162.65105,834
331.61133,200.81757,835
309.2951,142.42314,836
341.66016,213.58313,837
284.23828,167.96687,838
320.3064,184.90286,839
305.37997,175.29399,840
302.7699,152.71786,841
298.85477,169.61539,842
310.88562,169.11942,843
297.5497,150.07422,844
276.34277,142.24777,845
303.92578,141.13428,846
278.73535,162.88432,847
259.50272,123.93397,848
300.19818,137.97284,849
311.5981,173.8602,850
279.93164,128.19844,851
295.4834,161.82657,852
283.5205,145.82465,853
316.26892,172.47054,854
304.1565,163.61604,855
317.61475,198.74516,856
306.68503,189.28967,857
344.53125,217.13052,858
298.93152,165.79207,859
295.13156,145.9079,860
326.47113,190.34094,861
297.66486,189.85101,862
316.26892,167.35378,863
293.8649,158.22594,864
310.33145,153.0772,865
330.63885,180.53693,866
293.8649,133.9548,867
282.32422,131.35233,868
301.46484,131.57004,869
323.69266,174.63568,870
301.46484,159.38626,871
276.53165,149.71925,872
289.16016,125.48368,873
297.66486,151.13635,874
273.52988,145.173,875
324.34387,139.54462,876
259.4751,120.850006,877
297.66486,161.60207,878
296.3982,134.8858,879
287.9297,137.64761,880
270.038,147.71709,881
319.52496,158.05608,882
301.46484,172.26562,883
307.79813,175.13365,884
301.46484,161.13974,885
301.46484,200.60335,886
305.50232,176.70331,887
297.66486,163.61488,888
303.92578,151.28262,889
291.6211,165.38708,890
304.07492,153.61855,891
305.50232,184.72156,892
283.5205,166.91127,893
274.69385,155.87465,894
270.038,130.79893,895
275.8578,144.91147,896
305.37997,144.73622,897
283.5205,164.10976,898
286.69922,141.50926,899
281.12793,152.76476,900
