@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.1317617,2017
0.11720056,2018
0.10410317,2019
0.092211045,2020
0.13599563,2021
0.18430004,2022
0.21542673,2023
0.23098746,2024
0.26220128,2025
0.1668877,2026
0.15532562,2027
0.14692889,2028
0.09733251,2029
0.18782398,2030
0.16078033,2031
0.14461087,2032
0.11347033,2033
0.08464535,2034
0.098079614,2035
0.13215439,2036
0.15487541,2037
0.11779054,2038
0.09285864,2039
0.083195664,2040
0.059826747,2041
0.09820501,2042
0.15165985,2043
0.1716084,2044
0.13196874,2045
0.12338637,2046
0.11907918,2047
0.11781423,2048
0.13821515,2049
0.15598403,2050
0.20587307,2051
0.14158826,2052
0.14678691,2053
0.12151964,2054
0.050657813,2055
0.05134479,2056
0.20312372,2057
0.21535999,2058
0.20499608,2059
0.18847574,2060
0.18069133,2061
0.14597927,2062
0.14368398,2063
0.16550131,2064
0.1413174,2065
0.11985817,2066
0.121656455,2067
0.10926965,2068
0.09662446,2069
0.098625265,2070
0.16445205,2071
0.16526642,2072
0.13760029,2073
0.11440965,2074
0.10773519,2075
0.10547439,2076
0.09763138,2077
0.11295149,2078
0.09457123,2079
0.04917952,2080
0.03840821,2081
0.035463292,2082
0.041518416,2083
0.11190216,2084
0.24189435,2085
0.18757683,2086
0.18832667,2087
0.14497165,2088
0.08766916,2089
0.08248259,2090
0.11453402,2091
0.15775321,2092
0.12662573,2093
0.09664378,2094
0.10037259,2095
0.12759033,2096
0.08924628,2097
0.1578597,2098
0.20996884,2099
0.14872201,2100
0.13398477,2101
0.17622764,2102
0.17876992,2103
0.19272098,2104
0.23408131,2105
0.2563919,2106
0.1693408,2107
0.14096028,2108
0.13206284,2109
0.104780816,2110
0.11716561,2111
0.23537785,2112
0.24630661,2113
0.22945635,2114
0.20949204,2115
0.19142553,2116
0.1824994,2117
0.19731133,2118
