@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.8299254,958
1.6562256,959
1.7226925,960
1.7033576,961
1.6989361,962
1.8640683,963
1.7417904,964
1.8787497,965
1.7639922,966
1.813715,967
1.8682847,968
1.8155044,969
1.9575326,970
1.874036,971
1.8332994,972
1.8219188,973
1.8066984,974
1.8514234,975
1.874853,976
1.8766894,977
1.9087418,978
1.8065159,979
1.7119565,980
1.8553638,981
1.8575104,982
1.8567643,983
1.9670846,984
1.9208947,985
1.8470474,986
1.8118587,987
1.7905257,988
1.7856437,989
1.6621472,990
1.7689117,991
1.9132006,992
1.7559292,993
1.7565008,994
1.7808903,995
1.8258628,996
1.8883452,997
1.9483252,998
1.9430679,999
1.9606689,1000
1.8005631,1001
1.8054447,1002
1.7055422,1003
1.5765293,1004
1.697468,1005
1.803599,1006
1.7803755,1007
1.7171289,1008
1.763806,1009
1.5932903,1010
1.5804303,1011
1.8232734,1012
1.8819324,1013
1.8587036,1014
1.8562151,1015
1.9543521,1016
1.7676461,1017
1.844811,1018
1.7719095,1019
1.8277395,1020
1.7091547,1021
1.81226,1022
1.865348,1023
1.7546853,1024
1.46117,1025
1.9114429,1026
1.9857529,1027
2.0654418,1028
1.780457,1029
1.663823,1030
1.7114925,1031
1.8926529,1032
1.7816886,1033
1.7484052,1034
1.6972624,1035
1.676425,1036
1.7589142,1037
1.7375672,1038
1.5674332,1039
1.6568798,1040
1.7373834,1041
1.7602413,1042
1.7436758,1043
1.5992577,1044
1.4938599,1045
1.4287416,1046
1.572053,1047
1.8505654,1048
1.867908,1049
1.8297738,1050
1.6114268,1051
1.476778,1052
1.4642621,1053
1.5371366,1054
1.9337875,1055
1.9853293,1056
2.0100744,1057
2.0139506,1058
1.9950017,1059
1.9783062,1060
2.0207388,1061
2.162338,1062
2.1974444,1063
2.170063,1064
2.094186,1065
2.1962874,1066
2.2994123,1067
1.7488587,1068
1.6835938,1069
1.7228404,1070
1.7540591,1071
1.7970117,1072
1.9260817,1073
1.5019933,1074
1.9068851,1075
2.0820162,1076
2.0622823,1077
2.0617087,1078
2.0879486,1079
2.0524008,1080
2.0324337,1081
1.9683203,1082
2.0566072,1083
2.0640368,1084
2.166107,1085
2.13483,1086
2.1518817,1087
2.0921128,1088
1.9758455,1089
2.0479817,1090
2.171411,1091
2.2101455,1092
2.1637137,1093
2.2170722,1094
2.0750825,1095
1.7199594,1096
1.5488256,1097
1.6236726,1098
1.5326494,1099
1.5783828,1100
1.4956573,1101
1.8293581,1102
2.0664065,1103
2.1467543,1104
2.1418138,1105
2.188999,1106
2.2695022,1107
2.097176,1108
1.9169127,1109
1.9403027,1110
2.0507166,1111
2.1228833,1112
2.0339208,1113
2.0188947,1114
1.8847667,1115
1.8772418,1116
1.9502895,1117
2.0823789,1118
2.01117,1119
1.7274814,1120
1.7256837,1121
1.8235893,1122
1.4447156,1123
1.388472,1124
1.5611978,1125
1.6122106,1126
1.547905,1127
1.5657599,1128
1.7023793,1129
1.9954156,1130
2.0185094,1131
1.9504838,1132
1.9409814,1133
1.9477198,1134
1.7792075,1135
1.838772,1136
1.8794794,1137
2.0118127,1138
2.0799031,1139
2.0186276,1140
2.0740843,1141
2.1063032,1142
1.700328,1143
1.7997689,1144
2.024224,1145
1.9370745,1146
1.934727,1147
2.0202296,1148
1.9507649,1149
1.5995212,1150
1.5602144,1151
1.7301017,1152
1.6680177,1153
1.7084012,1154
1.6718332,1155
1.5569277,1156
1.6350546,1157
2.1154227,1158
2.0970938,1159
1.8985382,1160
1.9366102,1161
1.9190719,1162
1.7901692,1163
1.6802464,1164
2.1119018,1165
2.2260234,1166
2.3570194,1167
2.2725077,1168
2.3069468,1169
2.1156492,1170
2.1336212,1171
2.1416059,1172
1.999346,1173
1.6846076,1174
1.4184427,1175
1.22045,1176
1.2992698,1177
1.5223414,1178
1.7278349,1179
1.7659997,1180
1.667297,1181
1.4456345,1182
1.5036821,1183
1.6246594,1184
1.9023747,1185
2.0359926,1186
