@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral slope' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-5.801271E-6,403
-4.5413362E-6,404
-3.2221697E-6,405
-4.6351224E-6,406
-4.096131E-6,407
-4.342773E-6,408
-6.4243577E-6,409
-6.540204E-6,410
-4.730993E-6,411
-4.6451914E-6,412
-4.6126047E-6,413
-5.09E-6,414
-5.027068E-6,415
-4.043051E-6,416
-4.252415E-6,417
-4.069232E-6,418
-4.998783E-6,419
-3.8945204E-6,420
-3.904587E-6,421
-4.268853E-6,422
-5.5851197E-6,423
-5.5251694E-6,424
-5.1689944E-6,425
-4.912149E-6,426
-5.0664444E-6,427
-4.993727E-6,428
-5.010804E-6,429
-5.5640216E-6,430
-5.4917755E-6,431
-5.3383237E-6,432
-4.048413E-6,433
-4.3563564E-6,434
-4.842927E-6,435
-6.4873875E-6,436
-4.794596E-6,437
-3.749712E-6,438
-4.3776204E-6,439
-3.364204E-6,440
-3.462487E-6,441
-3.4376897E-6,442
-4.5889838E-6,443
-4.2845777E-6,444
-4.8718516E-6,445
-4.77281E-6,446
-5.7600446E-6,447
-4.757708E-6,448
-4.2715164E-6,449
-5.094837E-6,450
-5.864127E-6,451
-5.270603E-6,452
-4.1714047E-6,453
-4.443907E-6,454
-4.078494E-6,455
-4.0921504E-6,456
-6.024138E-6,457
-5.1471784E-6,458
-4.941452E-6,459
-4.8884913E-6,460
-4.123531E-6,461
-4.090114E-6,462
-3.6211643E-6,463
-5.394093E-6,464
-5.4406564E-6,465
-4.5079823E-6,466
-4.9232517E-6,467
-3.5714634E-6,468
-3.6168703E-6,469
-4.137273E-6,470
-4.114438E-6,471
-3.704375E-6,472
-3.5874373E-6,473
-3.9648216E-6,474
-3.8265894E-6,475
-4.225133E-6,476
-6.393773E-6,477
-5.8610763E-6,478
-4.2766696E-6,479
-4.324362E-6,480
-4.0595933E-6,481
-4.596674E-6,482
-3.629666E-6,483
-3.5942148E-6,484
-3.979597E-6,485
-3.7383347E-6,486
-3.210694E-6,487
-1.3697013E-6,488
-1.7447687E-6,489
-2.6005002E-6,490
-4.504926E-6,491
-5.0117183E-6,492
-5.089672E-6,493
-4.4625676E-6,494
-3.6169233E-6,495
-4.5024767E-6,496
-3.818738E-6,497
-4.070733E-6,498
-4.373443E-6,499
-3.1644138E-6,500
-3.5884566E-6,501
-3.800725E-6,502
-4.095734E-6,503
-4.5707516E-6,504
-5.27828E-6,505
-5.370189E-6,506
-4.3620385E-6,507
-4.900326E-6,508
-4.4291955E-6,509
-4.6356577E-6,510
-4.4234625E-6,511
-4.4052254E-6,512
-5.0582094E-6,513
-4.603241E-6,514
-3.3181855E-6,515
-4.6247105E-6,516
-3.876131E-6,517
-3.8041185E-6,518
-6.5186605E-6,519
-4.8810316E-6,520
-4.2341644E-6,521
-4.608221E-6,522
-3.817004E-6,523
-4.148088E-6,524
-3.6961032E-6,525
-4.275361E-6,526
-2.8867712E-6,527
-3.1057143E-6,528
-3.259498E-6,529
-3.736772E-6,530
-3.9881515E-6,531
-4.880517E-6,532
-4.95535E-6,533
-5.788235E-6,534
-4.7389385E-6,535
-4.494145E-6,536
-4.7045714E-6,537
-4.119036E-6,538
-5.079625E-6,539
-5.4518E-6,540
-5.9586805E-6,541
-4.829466E-6,542
-5.07992E-6,543
-4.149008E-6,544
-5.271485E-6,545
-7.4851832E-6,546
-5.70979E-6,547
-4.151294E-6,548
-4.4593326E-6,549
-4.864361E-6,550
-4.0056507E-6,551
-4.5504653E-6,552
-4.4867456E-6,553
-3.8680605E-6,554
-4.4217095E-6,555
-4.4078356E-6,556
-5.3773747E-6,557
-5.555936E-6,558
-5.333316E-6,559
-5.754407E-6,560
-5.37922E-6,561
-4.4129756E-6,562
-5.0773356E-6,563
-5.6354943E-6,564
-4.5484085E-6,565
-4.7800177E-6,566
-4.981298E-6,567
-5.519528E-6,568
-5.033777E-6,569
-5.069234E-6,570
-4.534489E-6,571
-4.0710215E-6,572
-5.7710718E-6,573
-5.2161777E-6,574
-5.190999E-6,575
-4.487489E-6,576
-3.6886945E-6,577
-4.411392E-6,578
-4.1350795E-6,579
-3.6532447E-6,580
-3.85145E-6,581
-2.9441633E-6,582
-3.3301178E-6,583
-4.4953877E-6,584
-3.6327165E-6,585
-3.0280653E-6,586
-5.9438275E-6,587
-5.95719E-6,588
-4.9048485E-6,589
-4.4795834E-6,590
-4.632602E-6,591
-4.3062746E-6,592
-5.0016797E-6,593
-3.6219449E-6,594
-4.0038453E-6,595
-3.905839E-6,596
-2.9613045E-6,597
-2.4038957E-6,598
-1.94488E-6,599
-2.5132128E-6,600
-5.5475975E-6,601
-4.931245E-6,602
-4.5168485E-6,603
-4.5676056E-6,604
-4.5045267E-6,605
-4.1644544E-6,606
-4.1161998E-6,607
-3.4154612E-6,608
-3.710057E-6,609
-3.510395E-6,610
-3.1892882E-6,611
-4.1166963E-6,612
-4.267674E-6,613
-3.5056985E-6,614
-4.7956355E-6,615
-6.5891963E-6,616
-6.532787E-6,617
-4.6888185E-6,618
-5.837407E-6,619
-4.5959005E-6,620
-4.708175E-6,621
-6.1448927E-6,622
-5.146239E-6,623
-5.066179E-6,624
-3.4935397E-6,625
-3.2470732E-6,626
-3.817757E-6,627
-6.3375574E-6,628
-5.659598E-6,629
-4.611692E-6,630
-3.933351E-6,631
-4.3148607E-6,632
-3.126698E-6,633
-4.1624317E-6,634
-3.9606357E-6,635
-3.1604743E-6,636
-3.4180248E-6,637
-3.9997685E-6,638
-4.2207203E-6,639
-3.8490252E-6,640
-3.0686924E-6,641
-4.3809837E-6,642
-5.668526E-6,643
-5.7495954E-6,644
-6.479466E-6,645
-5.4436673E-6,646
-4.5338743E-6,647
-5.3053595E-6,648
-5.0862886E-6,649
-5.5912046E-6,650
-5.237011E-6,651
-4.753689E-6,652
-4.0257505E-6,653
-4.221874E-6,654
-4.4378767E-6,655
-5.4400857E-6,656
-3.9048346E-6,657
-2.9756197E-6,658
-3.294009E-6,659
-3.276217E-6,660
-2.7459857E-6,661
-4.0081363E-6,662
-3.899685E-6,663
-5.120732E-6,664
-4.743373E-6,665
-4.6112214E-6,666
-5.8311925E-6,667
-5.9060344E-6,668
-4.7192148E-6,669
