@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude of maximum in the chromagram' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.34411293,781
0.13515139,782
0.14213057,783
0.11025705,784
0.10770052,785
0.15756038,786
0.43612528,787
0.2820139,788
0.37950826,789
0.14877285,790
0.11402857,791
0.14914723,792
0.12018011,793
0.16143268,794
0.11235572,795
0.12236815,796
0.19496721,797
0.089063466,798
0.1018242,799
0.17874008,800
0.46771953,801
0.34022617,802
0.4456688,803
0.327073,804
0.2648768,805
0.106122635,806
0.10567606,807
0.49412018,808
0.3671914,809
0.13288215,810
0.3280072,811
0.13520032,812
0.19633676,813
0.22560346,814
0.27842653,815
0.30998823,816
0.39270952,817
0.17640434,818
0.30329794,819
0.3450944,820
0.23343782,821
0.34891313,822
0.20294057,823
0.1403613,824
0.2109125,825
0.1697765,826
0.16414794,827
0.25818288,828
0.22478634,829
0.09530598,830
0.12609132,831
0.13393885,832
0.13091905,833
0.16953942,834
0.21940848,835
0.52538455,836
0.24871649,837
0.1694422,838
0.1873188,839
0.21609952,840
0.20580299,841
0.39848548,842
0.33699745,843
0.3214659,844
0.36144885,845
0.121074736,846
0.17732272,847
0.30299884,848
0.44885862,849
0.30517063,850
0.1978677,851
0.19780141,852
0.1507427,853
0.1991308,854
0.13627575,855
0.23651005,856
0.20404375,857
0.23685847,858
0.23297653,859
0.2651359,860
0.25466132,861
0.21205044,862
0.26163617,863
0.30246407,864
0.38527915,865
0.20155433,866
0.16290928,867
0.18359901,868
0.37690037,869
0.3610707,870
0.25684628,871
0.19363607,872
0.23046133,873
0.29203779,874
0.11211015,875
0.2948189,876
0.4225831,877
0.14149128,878
0.16249388,879
0.11589126,880
0.24744567,881
0.15476061,882
0.18773058,883
0.47978035,884
0.24687654,885
0.24015047,886
0.16254906,887
0.16573894,888
0.18574567,889
0.22440657,890
0.2566744,891
0.16978875,892
0.18121167,893
0.2308358,894
0.19887134,895
0.11660328,896
0.26706514,897
0.683352,898
0.24198763,899
0.23987414,900
0.25333452,901
0.20231773,902
0.19970438,903
0.37954903,904
0.24540694,905
0.15677343,906
0.08052145,907
0.069474466,908
0.09833682,909
0.09023365,910
0.09173606,911
0.15097497,912
0.10944076,913
0.11745648,914
0.1264866,915
0.060424034,916
0.23631528,917
0.40000466,918
0.21047324,919
0.22724923,920
0.19027935,921
0.13353899,922
0.29354835,923
0.17377225,924
0.23971717,925
0.18419011,926
0.23289761,927
0.38597915,928
0.28812462,929
0.31190127,930
0.24842322,931
0.42743993,932
0.200182,933
0.2332231,934
0.1975692,935
0.14214148,936
0.19768399,937
0.19036293,938
0.22669537,939
0.098428,940
0.1940314,941
0.23359749,942
0.21795478,943
0.186882,944
0.19877975,945
0.6758653,946
0.256325,947
0.29025176,948
0.1509975,949
0.28709334,950
0.27556947,951
0.38434923,952
0.292836,953
0.29146934,954
0.10704599,955
0.1647079,956
0.17291471,957
0.15974467,958
0.43539023,959
0.26193312,960
0.20352736,961
0.1381713,962
0.14271073,963
0.15634519,964
0.14147288,965
0.20405318,966
0.30402154,967
0.12419625,968
0.24402098,969
0.23241052,970
0.16772932,971
0.20118035,972
0.2850315,973
0.38436592,974
0.23825234,975
0.15528718,976
0.15885437,977
0.24557638,978
0.29366714,979
0.4108567,980
0.14539827,981
0.14557287,982
0.13241681,983
0.12832154,984
0.17813776,985
0.27292567,986
0.3252763,987
0.29157463,988
0.21872213,989
0.16330144,990
0.20284869,991
0.1490055,992
0.24211055,993
0.3494648,994
0.42756754,995
0.4432274,996
0.2488205,997
0.45889384,998
0.15908733,999
0.15670228,1000
0.21666239,1001
0.22231394,1002
0.20028685,1003
0.1699767,1004
0.16052097,1005
0.2323677,1006
0.23047562,1007
0.52621984,1008
0.2189634,1009
0.393853,1010
0.2317603,1011
0.250952,1012
0.26520473,1013
0.30214956,1014
0.36846107,1015
0.21611588,1016
0.24263284,1017
0.2039157,1018
0.19502175,1019
0.2635835,1020
0.27518523,1021
0.23075381,1022
0.18032286,1023
0.14333238,1024
0.075767934,1025
0.11781434,1026
0.1219361,1027
0.37914097,1028
0.17098378,1029
0.14310531,1030
0.16638814,1031
0.19229637,1032
0.27992505,1033
0.31743065,1034
0.21099447,1035
0.14689876,1036
0.19901478,1037
0.1976756,1038
0.14762065,1039
0.4314639,1040
0.25652963,1041
0.34598774,1042
0.23687616,1043
0.14182411,1044
0.117505446,1045
0.15545774,1046
0.16177598,1047
0.4458802,1048
0.54544055,1049
0.4618374,1050
0.27613208,1051
0.38056594,1052
0.34055325,1053
0.27970266,1054
0.27869812,1055
0.4620635,1056
0.15813027,1057
0.22860113,1058
0.23672883,1059
0.18961072,1060
0.2845813,1061
0.4374007,1062
0.467568,1063
0.37243533,1064
0.46384686,1065
0.53916395,1066
0.50504035,1067
0.24179316,1068
0.39183113,1069
0.2821213,1070
0.17790656,1071
0.25106883,1072
0.25364542,1073
0.2625922,1074
0.37294236,1075
0.29426044,1076
0.1911096,1077
0.2607425,1078
0.11290824,1079
0.09426141,1080
0.19942786,1081
0.3741415,1082
0.46521375,1083
0.35915187,1084
0.31573552,1085
0.30644014,1086
0.29642498,1087
0.2817114,1088
0.24154553,1089
0.3774655,1090
0.31071082,1091
0.32044983,1092
0.36652875,1093
0.37841046,1094
0.34422138,1095
0.5230452,1096
0.18094392,1097
0.3561549,1098
0.37631965,1099
0.35432097,1100
0.2768934,1101
0.41213158,1102
0.2852084,1103
0.20976156,1104
0.10610712,1105
0.099556774,1106
0.2714207,1107
0.17449103,1108
0.15044363,1109
0.0989455,1110
0.14184108,1111
0.17814639,1112
