@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral extent' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1550.3906,680
2454.7852,681
2196.3867,682
861.3281,683
775.1953,684
516.7969,685
689.0625,686
3359.1797,687
2627.0508,688
2799.3164,689
2713.1836,690
3143.8477,691
2583.9844,692
2497.8516,693
2627.0508,694
645.9961,695
2196.3867,696
2928.5156,697
559.8633,698
2540.918,699
1248.9258,700
3273.0469,701
2454.7852,702
1981.0547,703
2411.7188,704
818.2617,705
430.66406,706
344.53125,707
3531.4453,708
6632.2266,709
1464.2578,710
645.9961,711
2627.0508,712
2627.0508,713
2627.0508,714
2627.0508,715
2583.9844,716
2627.0508,717
2540.918,718
2583.9844,719
645.9961,720
2713.1836,721
2325.586,722
2497.8516,723
904.39453,724
2583.9844,725
2799.3164,726
2756.25,727
2411.7188,728
2368.6523,729
2497.8516,730
2583.9844,731
516.7969,732
2067.1875,733
1119.7266,734
2411.7188,735
129.19922,736
2885.4492,737
387.59766,738
2928.5156,739
2454.7852,740
3057.7148,741
3057.7148,742
3100.7812,743
3057.7148,744
2842.3828,745
172.26562,746
430.66406,747
129.19922,748
2627.0508,749
2540.918,750
2153.3203,751
689.0625,752
387.59766,753
1291.9922,754
2540.918,755
2540.918,756
2411.7188,757
1205.8594,758
559.8633,759
387.59766,760
215.33203,761
473.73047,762
1119.7266,763
1722.6562,764
2713.1836,765
2411.7188,766
301.46484,767
1248.9258,768
2239.4531,769
3143.8477,770
3057.7148,771
2756.25,772
129.19922,773
1291.9922,774
645.9961,775
2885.4492,776
3229.9805,777
2928.5156,778
2368.6523,779
1722.6562,780
1291.9922,781
1679.5898,782
1679.5898,783
2497.8516,784
2239.4531,785
2627.0508,786
1679.5898,787
1722.6562,788
1679.5898,789
2971.582,790
2670.1172,791
1550.3906,792
3014.6484,793
2928.5156,794
2627.0508,795
2110.254,796
732.1289,797
2239.4531,798
2971.582,799
3359.1797,800
258.39844,801
2540.918,802
473.73047,803
2239.4531,804
2540.918,805
2928.5156,806
3186.914,807
215.33203,808
258.39844,809
4005.1758,810
1119.7266,811
3617.5781,812
2799.3164,813
2670.1172,814
732.1289,815
387.59766,816
172.26562,817
3014.6484,818
1851.8555,819
2454.7852,820
2110.254,821
1076.6602,822
2885.4492,823
2627.0508,824
2627.0508,825
2627.0508,826
2670.1172,827
2368.6523,828
2540.918,829
3316.1133,830
3273.0469,831
3316.1133,832
3057.7148,833
2799.3164,834
2885.4492,835
129.19922,836
2756.25,837
2971.582,838
2799.3164,839
2799.3164,840
3531.4453,841
215.33203,842
645.9961,843
172.26562,844
387.59766,845
3057.7148,846
2368.6523,847
2411.7188,848
559.8633,849
904.39453,850
2713.1836,851
2583.9844,852
2928.5156,853
2928.5156,854
3100.7812,855
2024.1211,856
2627.0508,857
2583.9844,858
2627.0508,859
2368.6523,860
2153.3203,861
2627.0508,862
1205.8594,863
1593.457,864
301.46484,865
2713.1836,866
2670.1172,867
2497.8516,868
732.1289,869
473.73047,870
559.8633,871
2454.7852,872
2454.7852,873
2239.4531,874
2713.1836,875
1205.8594,876
559.8633,877
2971.582,878
3746.7773,879
3186.914,880
2196.3867,881
2756.25,882
1894.9219,883
818.2617,884
2497.8516,885
2411.7188,886
2411.7188,887
2756.25,888
2282.5195,889
2540.918,890
1679.5898,891
3402.246,892
2497.8516,893
2239.4531,894
2713.1836,895
3014.6484,896
