@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.056056205,2756.25,18.0,219
0.061006404,2756.25,28.0,220
0.058752947,1679.5898,9.0,221
0.07715727,2196.3867,17.0,222
0.06500759,1636.5234,21.0,223
0.06213954,2756.25,22.0,224
0.07588538,1248.9258,23.0,225
0.06781511,2756.25,30.0,226
0.06703279,1248.9258,20.0,227
0.06320605,1248.9258,25.0,228
0.06020683,602.9297,16.0,229
0.06088094,2756.25,7.0,230
0.05946049,2928.5156,11.0,231
0.06092536,430.66406,11.0,232
0.05293574,3316.1133,17.0,233
0.05160595,430.66406,11.0,234
0.0589984,1851.8555,16.0,235
0.049024213,2583.9844,16.0,236
0.06583294,1076.6602,20.0,237
0.05954527,1679.5898,22.0,238
0.06482491,3316.1133,25.0,239
0.075616375,1679.5898,24.0,240
0.055951115,2196.3867,10.0,241
0.06305502,3316.1133,16.0,242
0.058407273,3875.9766,13.0,243
0.062732555,2239.4531,15.0,244
0.06618447,3316.1133,18.0,245
0.082882166,732.1289,26.0,246
0.08698537,732.1289,25.0,247
0.07219447,387.59766,11.0,248
0.061390188,732.1289,29.0,249
0.06618444,2067.1875,30.0,250
0.064358115,2067.1875,27.0,251
0.058215614,3875.9766,29.0,252
0.055021025,3875.9766,29.0,253
0.070253,2067.1875,25.0,254
0.06732411,3875.9766,21.0,255
0.07477994,2067.1875,30.0,256
0.07326468,1076.6602,19.0,257
0.067293175,2756.25,19.0,258
0.08618713,559.8633,19.0,259
0.06756634,2756.25,29.0,260
0.07186001,559.8633,17.0,261
0.06817304,2067.1875,21.0,262
0.07416562,559.8633,19.0,263
0.07407912,818.2617,16.0,264
0.08674295,2196.3867,12.0,265
0.08381532,2067.1875,22.0,266
0.08863044,732.1289,35.0,267
0.061517894,3316.1133,28.0,268
0.07028195,3316.1133,19.0,269
0.07817419,3316.1133,17.0,270
0.07269441,2756.25,16.0,271
0.06987724,3316.1133,18.0,272
0.060800083,1033.5938,27.0,273
0.06720114,1033.5938,27.0,274
0.061843265,1033.5938,27.0,275
0.07168884,2067.1875,12.0,276
0.082902834,2067.1875,27.0,277
0.08200989,2067.1875,13.0,278
0.047456034,775.1953,25.0,279
0.05178812,3316.1133,20.0,280
0.061730664,2756.25,10.0,281
0.050626058,3316.1133,22.0,282
0.05321841,732.1289,25.0,283
0.045164805,3875.9766,25.0,284
0.071663454,3316.1133,12.0,285
0.0638666,3316.1133,18.0,286
0.06447156,2067.1875,15.0,287
0.060163725,2067.1875,18.0,288
0.056250256,559.8633,19.0,289
0.063689776,3875.9766,19.0,290
0.07072164,2842.3828,23.0,291
0.06698223,2756.25,7.0,292
0.064840235,3875.9766,40.0,293
0.068448365,2196.3867,20.0,294
0.07016201,1119.7266,18.0,295
0.06520422,2196.3867,18.0,296
0.079601,1119.7266,25.0,297
0.08094978,559.8633,19.0,298
0.07348403,2196.3867,12.0,299
0.06941563,3316.1133,23.0,300
0.06924985,2756.25,10.0,301
0.061796296,2239.4531,10.0,302
0.06559814,2756.25,20.0,303
0.056077573,3316.1133,15.0,304
0.05598912,2067.1875,13.0,305
0.046665534,2928.5156,10.0,306
0.056132667,1033.5938,29.0,307
0.05374953,3359.1797,10.0,308
0.087139234,3359.1797,10.0,309
0.069859505,559.8633,19.0,310
0.07614713,2885.4492,11.0,311
0.071062446,2885.4492,14.0,312
0.050244536,430.66406,11.0,313
0.078954,559.8633,19.0,314
0.07292119,2196.3867,11.0,315
0.07372706,1808.7891,11.0,316
0.06348741,1378.125,17.0,317
0.06721727,1636.5234,13.0,318
0.06719472,2756.25,15.0,319
0.061688725,2067.1875,12.0,320
0.05793416,2024.1211,21.0,321
0.053051364,2024.1211,29.0,322
0.06421704,1937.9883,19.0,323
0.07810921,2842.3828,15.0,324
0.09293592,2799.3164,16.0,325
0.06277506,86.13281,2.0,326
0.07143877,2153.3203,17.0,327
0.05375895,172.26562,4.0,328
0.061220717,2411.7188,22.0,329
0.04490761,1507.3242,18.0,330
0.023011325,2540.918,13.0,331
0.044149004,129.19922,9.0,332
0.046106637,3143.8477,9.0,333
0.05824777,2067.1875,19.0,334
0.052098967,3402.246,14.0,335
0.032308713,2583.9844,6.0,336
0.021712905,1507.3242,17.0,337
0.025109865,602.9297,5.0,338
0.067378245,3402.246,13.0,339
0.061345264,3574.5117,13.0,340
0.06696945,2756.25,20.0,341
0.031318303,602.9297,9.0,342
0.019144276,2583.9844,21.0,343
0.0045346576,1464.2578,237.0,344
0.021345092,3488.379,12.0,345
0.065366015,2756.25,8.0,346
0.04266349,2799.3164,9.0,347
0.0399481,3531.4453,15.0,348
0.032308463,3229.9805,11.0,349
0.014009492,2713.1836,200.0,350
0.004940044,947.46094,234.0,351
NaN,NaN,NaN,352
