@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral kurtosis' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
3.1456323,492
3.338813,493
2.7918417,494
2.7322316,495
3.074877,496
2.9282486,497
2.9190116,498
2.6943111,499
2.6489568,500
2.9486213,501
2.8289406,502
3.113318,503
3.406242,504
3.831785,505
4.0252976,506
3.3842552,507
3.528122,508
3.6358788,509
3.504693,510
3.5398405,511
3.3843434,512
3.460295,513
2.9215205,514
2.044931,515
3.6387951,516
3.3805358,517
2.9393237,518
3.4871857,519
3.0292885,520
2.9549127,521
3.3695242,522
3.3186173,523
3.1777341,524
2.8965821,525
2.9112124,526
2.6758769,527
2.8471007,528
3.21383,529
3.3925421,530
3.8355494,531
3.3760517,532
3.5400226,533
3.6020453,534
3.2468634,535
3.3264534,536
3.5651684,537
3.19006,538
3.3538952,539
3.9260838,540
4.7669053,541
3.988674,542
4.003004,543
4.0804863,544
4.3941097,545
4.1634645,546
3.324018,547
3.2067587,548
3.3899481,549
2.9815423,550
2.847649,551
3.3107522,552
3.2523565,553
3.4789279,554
3.2801108,555
3.7139194,556
3.7950835,557
4.1472487,558
3.8434663,559
4.057396,560
3.861223,561
3.0051312,562
3.6500216,563
3.3486784,564
3.3231556,565
3.4321067,566
3.4463487,567
3.8603644,568
4.0537353,569
4.185603,570
3.2616794,571
3.7171452,572
3.3725226,573
3.0470986,574
2.8574085,575
2.6179907,576
2.6688902,577
2.7969117,578
2.9377956,579
2.7188642,580
2.5275998,581
2.5579093,582
2.7065258,583
3.3273077,584
2.829447,585
2.9016228,586
3.7775164,587
4.1063156,588
3.3638656,589
2.8800657,590
3.040804,591
2.697139,592
2.9737306,593
2.3921294,594
2.6565323,595
2.5433495,596
2.0973637,597
1.9263605,598
1.7271204,599
1.8514551,600
3.2024195,601
2.7193513,602
2.91616,603
3.0776274,604
3.05515,605
2.960429,606
3.350516,607
2.912147,608
2.8968773,609
2.8295422,610
2.4154735,611
3.1781764,612
3.123378,613
3.1215053,614
3.7147963,615
4.222662,616
4.55817,617
3.924144,618
4.200279,619
3.2156265,620
3.4736729,621
4.191807,622
4.217108,623
3.7018666,624
3.165889,625
2.7781496,626
3.7374382,627
3.958014,628
3.3577788,629
3.0936084,630
2.9224486,631
2.8360994,632
2.7751153,633
2.9010773,634
3.1477764,635
3.106445,636
3.0309584,637
3.0272596,638
3.453098,639
3.1621184,640
2.7916145,641
3.2348638,642
4.7454863,643
4.442563,644
4.364353,645
3.8677094,646
3.7392962,647
3.5524395,648
3.5866323,649
4.0076523,650
4.0656686,651
4.127029,652
3.775634,653
3.7858157,654
4.1813307,655
3.2038572,656
1.9712675,657
2.0163324,658
2.0945811,659
2.1065602,660
2.150488,661
2.4454951,662
3.5819168,663
3.7381916,664
3.3845758,665
3.7537153,666
4.4584694,667
4.252574,668
3.6881876,669
3.4038968,670
3.7125182,671
4.374937,672
4.3583174,673
4.3749614,674
4.150978,675
4.616469,676
3.748867,677
4.293314,678
4.421879,679
4.7643104,680
3.5761924,681
2.8983238,682
2.5640354,683
2.6625855,684
2.3197906,685
2.54437,686
2.5353823,687
2.548221,688
2.5798256,689
2.6174111,690
2.761609,691
2.9876332,692
2.9282613,693
2.850504,694
2.952411,695
3.4053059,696
3.61994,697
3.6168692,698
2.8025098,699
2.568221,700
2.7482858,701
3.0165617,702
2.545569,703
2.7831783,704
2.7589755,705
2.679158,706
2.1308506,707
1.707747,708
1.5678385,709
2.5161,710
3.6799076,711
2.8951612,712
3.1164014,713
2.6324818,714
2.8029497,715
3.1677806,716
2.7343025,717
2.685816,718
3.174901,719
2.8810596,720
2.9007525,721
3.1566076,722
3.581788,723
3.2097058,724
3.4976115,725
3.0924225,726
3.2136767,727
3.5221524,728
3.2383718,729
3.7146707,730
3.2216623,731
3.424264,732
2.9139593,733
2.482768,734
2.6026955,735
3.291386,736
3.166212,737
3.2656558,738
2.7966278,739
3.1367352,740
3.1803737,741
3.2053769,742
