@RELATION ClassificationSet

@ATTRIBUTE 'Mean_1(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Mean_1(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC

@DATA
331.7568638248845,1081.1689717940046,184.4320652764977,1022.5317924726368,19.93369234884793,163.92679642295465,13.91167028617512,58.699716289994015
327.06139842592603,1000.1313517591038,177.60073312037045,888.3587955689255,20.566706554629636,173.52559562272134,13.797276271296296,76.81958553695948
317.6944220833334,877.5156218756356,170.45478649999998,846.3839787363349,19.013757544444438,79.67844706704145,11.537663136574075,42.97512031362018
306.4017639631339,650.3628440076429,163.5841040967742,728.9158824089807,17.7774294142857,55.10868479734298,10.726788181566826,19.289032919535824
307.5829605555556,1063.7132786704133,164.94628055092588,790.5529547110491,22.525554165277775,396.32682303944495,19.846026176388882,320.98384808187916
315.8609717272727,1396.0650820723051,171.23500172727265,878.4517834086633,27.58452480454546,675.1789598026775,28.71119174090909,458.39929460059477
291.1479242325581,420.9786188716648,142.79536746046506,380.4857723482219,8.767728834883721,13.26685540195759,5.739802926976742,6.121046455990299
289.53945499999986,423.0461076658797,145.7337435925926,347.72800122837594,6.642046737962963,4.127556358974398,5.624562197222224,5.893618191583845
286.7922708796296,497.7237263095554,147.97877964351852,448.16456738489103,8.765615358333333,17.214581761022576,7.939385540277777,22.454570867463808
290.874350276498,710.7794285733759,154.14086522119808,698.0636388042223,14.554392428110601,240.73825431463234,14.102626550691246,181.42358766681897
296.20471143518523,827.9406251638496,158.33677530555565,732.6135114101016,19.056457058333336,440.225352271144,17.173854840277787,295.1616637767989
299.7131130555556,901.324707884627,163.0303372314813,777.5453128330419,17.64298180833334,254.56381247510168,13.775655942129614,163.07618831145047
297.83810520737325,889.4361808944151,162.490068672811,777.0394598337517,15.471699134562208,81.88964454171813,11.7653819608295,47.72546984723932
288.1406995833334,671.4501506469541,150.1848144675926,751.4249522716435,15.69228067777778,102.36510257888114,12.477434060185187,84.14483026464207
280.9928918055558,500.0361362828332,143.75257338425922,627.0993058829268,12.657516656944445,62.29896541001781,9.548260912962965,64.27080638980078
282.9442166359449,517.0110337876695,150.32231303225817,613.2920853456551,10.514192160829493,31.63054175960233,9.298880401382485,21.33110817331727
296.00840250000005,681.356793348025,161.29363778703703,633.8455777274477,16.566868511574075,222.77611586994888,16.498103867129633,175.883794520026
304.5886807272727,637.0446375339394,166.28615445454545,624.2702905207196,21.33142644090909,342.6010110122603,21.055653346363638,281.92355355027615
347.39710958139534,1196.0007057246264,190.8904130232557,758.4923938555996,15.94600149534883,137.82265344488735,10.765109935534884,38.8828258350397
350.9684954166667,1635.81703758204,194.80229381944443,1145.946268053028,19.744793212037045,219.10948432635874,12.366239768703704,60.11062650475473
346.98557097222226,1665.420079814079,197.06265653240735,1451.6296073764502,24.13074048287039,152.76785006808296,14.4002672212963,33.5820484509865
347.5791983870966,1946.0227516334623,193.91564629032263,1325.7165280723768,21.978612252073727,191.83472417965092,13.703220062718907,41.252795473016924
352.27600874999996,1995.900761117242,193.06611180092594,1267.3056100959036,22.834868124074077,264.8087535016748,14.96292820967592,61.29915573189126
343.9202584259256,1645.1645946305757,191.7564604166666,1340.281400293176,23.91155928564815,248.51413338699982,17.15193426962963,71.48701493734013
336.9194691705068,1659.5545166445302,190.648610875576,1715.6348992998678,20.623586277419356,207.707384117257,15.702285944976959,73.15356469761434
340.31110750000005,1802.8876749692795,190.60269337962976,1777.3497524896509,16.434581020833335,173.2522179953303,12.216054685370368,52.653981559572486
343.4724991203704,1696.3684150858057,187.50357696296288,1064.137058868328,17.6298165662037,171.9016579581257,11.74316816606482,41.708022029244376
347.3394041013825,1937.6864478347125,190.90236282949314,1025.9321883317964,21.867561081566823,215.53516535179818,14.577861347511513,49.54405841227393
346.714967962963,1585.31800301664,193.37960423148155,1120.659201125803,20.315245021759257,237.5165327824077,15.189453067500008,61.86064901846509
337.3193348623853,1061.854378805895,187.45532719266058,1060.9211921828555,17.33633864954128,202.60581507755748,13.455296931192667,65.83888308163083
279.6924989767442,23849.002749783966,130.25436787906975,8694.708332123699,15.590681693953492,525.8811691134543,10.977205675348836,592.9580100340003
266.9883501851853,571.6850388293994,126.50035723611121,913.9982688041013,13.439578270833328,26.21072841800064,8.487607116666668,6.802584909451726
272.5458589351855,624.8784553889333,126.61061555092593,859.3932088114126,12.756576892129635,31.210673775285564,8.446461337962958,12.001215419550558
273.6384410599081,601.8678783825627,131.81636277419364,646.4093022565387,10.633012092626728,37.863619748063115,8.156284528571426,14.002820635524873
282.8554468518521,515.6604833238906,139.07633989351856,493.8564670540019,6.875225849999996,21.466285483874895,8.676961770833332,37.87493988304985
280.17578708333326,647.4666213914178,129.70160928240736,506.7037863304132,7.571878820833333,20.75370701861125,7.992097918981477,35.56264842858169
282.9049732258066,767.2453059318403,135.8971656175115,1026.0794625431124,10.561802311981571,14.90029680422484,7.211321170967744,5.794162214715215
292.39595268518525,895.6778928630707,159.44655126851862,1029.80820690992,13.031713133333326,12.095373673533265,8.05685125740741,7.153636735671895
290.8961002777777,1191.400000876478,163.60988222222227,888.3352816214311,14.302499902777775,11.024550992768015,8.712408486574079,9.733133719983789
274.8787064516129,1119.788430891076,141.74950547004602,1276.6389789967143,15.710050314746542,24.20417723559282,9.896647432718899,16.959708982457848
259.45519217592613,384.98258769334495,116.04626131944443,607.7055898448774,14.895597536574071,34.07673971405925,9.304766500000003,15.422273069673597
261.0423646788992,188.28236307250023,111.02102998165144,255.90439880816214,13.14824286055046,26.76344532245447,7.564770126605506,4.741462060119289
305.2433556279071,691.2329802676489,169.6766850930233,682.6646286472761,42.24588953953486,654.1342331834729,35.05330897674418,326.9564158036948
305.35222347222236,753.3573308951724,171.29620079629623,820.5279836372539,47.40178410185189,717.453592240692,37.83874577175926,327.2164814014176
294.36888115740754,1074.422261203313,162.05310021296293,925.2587571488766,33.57644500324072,610.4209310170232,27.5995674212963,322.6570420248595
290.13244640553,958.4691726620036,156.88185214285704,803.296306690141,27.01285060691244,533.2687688812542,24.054393085253444,361.6581706332452
296.479849351852,746.2626621842443,160.44885018518522,627.9900430525419,31.43909708981481,686.5373862104241,29.827962293518503,465.1703665913704
300.15718828703706,946.6677755030854,163.87150865740745,741.1991113309231,28.269145112962992,663.3669446547478,27.47702073796295,447.152674691207
308.0258163133642,1682.9765085741458,168.11350657142856,1082.1679986132378,29.987560785253457,957.403890011432,27.026998032718897,486.1055108382892
314.6540442129631,1681.8798028798858,171.9901145185185,1071.5183911198424,33.05877213842593,1043.6409726749068,32.60390103564814,525.7588381441096
306.2861294907406,1364.6105683513908,169.3568599166667,885.0425307762879,29.793526588888902,566.3887997761074,32.79543893981481,396.22680661381236
303.2292482949309,1247.2579530644493,166.34557545622124,875.9682430387555,26.226339527188937,284.95288438741267,28.022217957603687,268.96977416336955
300.45405069444456,1255.5575608365848,165.33612683333337,963.683116176314,22.595999293981478,243.81180285474719,21.44414184583334,194.22723659740973
289.73664073394497,1279.9927928536601,160.14105801834862,1014.6123527091183,20.072671007339448,164.7705730706241,17.70656829174312,129.5262609494372
278.24180600000017,619.5141735788304,142.20363170697672,531.0043170952262,9.91841883209302,9.014559046204113,7.58311442,7.910034353608201
274.5260132407409,585.540823070242,148.48893532870375,635.9200603594501,12.091837993055556,10.795690497559635,10.878868042129627,18.61620063114976
283.2233756018518,604.3684364758589,153.53721495370363,543.2846415753598,12.820992044907412,22.658819170659655,13.022653488842595,28.381471282083616
298.01558705069124,801.4586848162206,160.11049059447015,660.2574924262383,14.599426127649766,37.73478548072764,14.496955400875583,41.750826876783314
312.72940861111124,706.8134748911782,170.24417897685177,740.645432361276,15.255823745833332,30.797866778696946,15.016093700925913,29.66368605573623
308.4802831481483,724.9498668020805,170.62122671296294,715.9946892303286,12.999270431481488,29.821525729966446,13.59964735481482,38.67951700091756
303.781840138249,539.6729052823082,166.00785790783414,663.0509481487973,12.779532347926262,35.674532739617916,13.389990882672823,47.982457670467404
311.1195552777776,737.7033089489245,169.30358428240746,865.454338814713,13.604897031944448,29.281345602176337,13.912584756481476,28.720529028893665
304.6765912962965,800.4932374382926,166.30221145833332,787.9005219331812,14.982276418981472,25.92413226204384,16.943914870370378,37.33240926932126
296.8612348847927,510.4840922593688,161.9185512718894,537.4636133643562,14.978765233179727,41.506154033184835,17.552697481336413,58.46646378565393
308.11615337962945,1127.4136644510156,170.14728421296294,824.5109185149706,12.931426374074075,44.307732466882136,14.106211431250001,54.403893227404524
314.58427345454567,1537.905813510707,175.60295272727274,987.5496509613818,11.702041797272724,34.398476124830864,12.02684187545454,33.399913570569886
288.50419916279077,524.3556278539818,141.60775526511623,484.9721022793777,7.019777677674421,11.166304329219749,8.1393957027907,36.59727745113296
292.0269982407408,508.28820310944207,143.36889124999996,514.67847708505,8.221511552777777,13.499047762054264,9.911592374999996,47.11044207421045
305.0315859722224,1033.0879987198516,156.13562881944446,945.6071094024237,9.279906625925927,40.02676056743172,9.589896675000002,34.71445273428182
321.32695562211995,1155.0333426995644,173.34461804147463,1082.9769988230578,16.410877037327182,179.9664193062,15.928767280184335,138.37735895385342
325.2409243055555,1114.8864906005417,179.1398712268518,918.8069059630246,18.98799711851851,171.7040015705273,18.957055683333344,124.06902050073852
328.2477731018519,823.466707008775,180.89329435185186,746.3789402115558,16.410476014814815,83.17514554644615,17.16777252962964,52.21894794044834
314.6444608755761,1141.705431173777,172.892816078341,944.447401682631,17.206067265898614,204.50902417021732,17.933925298156684,215.4279538196507
310.30249699074056,1201.8621197567286,166.78817805555556,935.3432446219574,15.28791917222221,210.01838701617274,15.231965448148157,211.7486937911128
307.9557231018519,861.6583005993324,158.0855460231482,840.4828897971394,12.010729102777772,80.73739560929845,13.511651313425936,95.50182718174965
303.751282580645,893.7544187215417,157.9517313364055,818.7016879857102,11.789437522580645,74.23350054562454,14.897069446082948,135.97235606785657
313.70517046296294,898.9143539797967,171.7550783796296,754.1980673483392,13.79277216018518,77.70916444157595,16.878081659722216,127.61390712322789
316.056654909091,668.8492083174851,172.0251364545454,704.9439100654067,14.489738981818192,97.62441612951551,18.110874872727262,142.33847717277064
322.14281553488377,1276.048289904634,179.62727479534894,1089.2080004273434,14.743304806976742,907.0105773149854,14.640140159302321,136.33956509850913
310.633202314815,832.3392145450126,170.60879847222222,832.7828197051232,18.99290304444444,181.93909489200985,21.46490890810185,236.61751785735757
312.22513194444434,1037.7567567239262,170.80414185185177,763.9014642696188,17.71079622361111,122.35876377241418,18.775627362962968,167.6373907883401
310.95918718894023,1023.5597897985209,172.38828845161296,789.9848065602738,16.657007641013834,76.58141232126276,15.717389141474648,55.69991921920876
300.6868109722223,547.2551457046168,164.0327733564815,708.6589504365312,17.34366258981481,73.34429049709041,16.50080951805555,54.85233536297065
308.66002462962985,851.9742638342641,166.7055556527778,840.9229358783814,15.154175011574077,50.998291598967164,15.510979536574066,76.96040179975545
311.1353429953917,829.3876548985478,167.38506551152074,820.3967855227975,14.773864017050682,66.05683894550492,16.126882891705073,92.86120483489883
302.9114707407408,698.9298216594385,162.50323387499995,660.2243280783123,14.414004421759252,44.39085887090376,15.303923023611105,55.220698082879935
303.40054865740734,857.0857269567227,164.1039220601852,688.0517020991077,14.205585496759259,42.57301950460557,14.596508652314819,65.1032361230298
307.8910552073735,769.502477435346,164.4347265437787,698.3053603728304,13.436080648847927,38.52068852245523,12.435268525345625,58.17283735962566
311.452634351852,713.2167178466375,162.8351796527777,738.6338876464654,12.886093584722225,29.414501395292174,12.724497477777785,63.32261624162691
312.2008414545454,728.2175428962871,161.9240049909092,784.7601659002335,13.38303484363636,46.48376951964555,15.757721243636363,98.13571119013704
291.8493092093025,360.4866608129731,148.8814859162791,400.4143466038721,10.623589103255812,104.25889311514494,13.608195158604646,202.0019667400792
289.27299074074085,304.3388587142887,144.5819894768519,392.1537695299736,9.492521873611112,53.93733692737839,10.850965618981474,131.72755891172017
